Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide",Arable land (% of land area),"Contributing family workers, female (% of female employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Exports of goods and services (% of GDP),Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Fuel exports (% of merchandise exports),GDP (current US$),"GNI per capita, PPP (current international $)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Industry (including construction), value added (% of GDP)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Prevalence of HIV, total (% of population ages 15-49)",Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",Gender Ratio Class
94.1,10.89,14225.0,9.1,8.24,105.87,4.22,39.37,191.12,4.1,4.52,108.7,0.01,28144331507.0,5690.0,18.27,1.45,21992491.0,81.0,64.01,25.82,49.4,75.29,39.43,4452659.0,111890.0,114.8,43.95,7.16,89.94,1.54,73.56,16.6,2.4,0.665,4.69,-4.13,-5779.0,617309997.6,5.36,1.54,14.45,49.5,0.2,0.44,97.09,27.34,45.9,8.55,13.9,4215972.0,99.91,95.23,55.27,113.54,33130000.0,14.9,7.94,6062373.0,47.88,1
100.0,5.31,7647.37,13.0,1.85,94.11,2.87,34.89,110.08,14.82,2.71,94.83,0.06,5254366312.0,17110.0,22.195,2.01,10421.0,97.0,42.61,9.19,40.67,76.17,44.875,251908.0,300.0,99.44,0.32,2.63,54.39,1.495,135.4,6.0,2.36,0.665,4.69,-4.13,1189.0,112410003.7,3.33,1.36,21.72,50.355000000000004,0.1,0.53,97.09,4.6,1.4,8.55,13.9,307128.0,99.91,95.23,55.27,1229.25,6200000.0,14.025,5.02,214329.0,32.28,1
100.0,8.79,11210.0,22.18,15.43,117.02,1.67,16.92,153.94,10.54,12.6,119.22,1.93,88609332762.0,13990.0,33.0,1.05,94328328.0,97.0,24.31,29.95,32.54,71.74,33.5,8694780.0,61860.0,128.88,10.04,9.02,37.4,1.89,141.29,6.7,0.18,0.665,4.69,-4.13,-563.5,154110000.6,1.63,1.08,21.72,51.82,0.1,0.28,98.56,5.38,48.8,8.55,13.9,17977378.0,96.87,91.01,55.27,482.49,59050000.0,14.025,5.26,4178622.0,39.95,1
100.0,6.56,15844.0,1.75,13.98,101.06,6.57,15.57,1.07,0.69,0.53,99.82,3.38,9838711529.0,1460.0,22.195,5.99,95210004.0,89.0,66.51,24.14,52.455,69.39500000000001,31.37,3038348.0,627340.0,99.67,30.3,22.42,57.73,1.495,51.82,15.4,3.265,0.665,4.69,-4.13,-17071.0,480160003.65,0.05,3.15,13.99,49.87,0.4,0.39,97.09,24.36,95.4,8.55,13.9,9090664.0,99.91,95.23,55.27,5.33,85430000.0,14.025,6.035,7974917.0,60.22,1
100.0,9.1,1929.0,1.61,3.42,104.78,6.72,52.84,9.75,0.26,12.4,105.06,3.38,14825690210.0,6070.0,38.85,6.54,38829158.0,68.0,32.71,42.89,66.76,68.12,49.9,2306220.0,341500.0,105.77,47.46,2.42,65.71,2.48,96.79,43.2,1.43,0.665,4.69,-4.13,-4466.0,204020004.3,0.37,2.32,21.72,50.06,0.4,0.4,97.09,11.26,71.4,8.55,13.9,1850943.0,99.91,95.23,55.27,10.28,27880000.0,14.025,6.035,3984863.0,88.17,1
100.0,23.36,74453.15,40.48,10.16,118.31,6.57,34.89,18.61,0.03,0.05,117.33,3.38,441000000000.0,5510.0,22.195,6.49,195947207.0,60.0,42.61,31.41,51.73,65.35,43.81,4154629.0,910770.0,111.54,65.14,33.44,22.4,1.01,91.44,15.4,0.82,0.665,4.69,-4.13,-563.5,480160003.65,7.25,2.41,16.85,49.47,0.4,0.37,97.09,3.61,80.3,8.55,13.9,1735323.5,99.91,95.23,55.27,63.03,62150000.0,15.01,5.39,4022829.0,85.53,1
72.5,22.79,20653.34,16.84,3.5999999999999996,98.9,4.17,34.89,38.66,1.67,0.98,80.46,3.38,66345291160.0,5060.0,22.195,5.07,305581286.0,89.0,42.61,37.31,41.06,69.74,37.74,4154629.0,652670.0,105.97,30.3,22.42,44.44,1.495,126.27,41.5,2.31,0.665,4.69,-4.13,-563.5,480160003.65,2.31,0.7,21.72,50.22,0.9,0.24,97.09,15.29,62.9,8.55,13.9,1735323.5,99.91,95.23,55.27,12.57,105700000.0,14.025,4.34,16918421.0,63.91,1
86.3,19.66,13321.0,20.7,11.46,131.73,2.88,30.06,37.37,0.35,0.97,130.54,3.38,79524421861.0,6340.0,15.59,0.73,8559644.0,94.0,32.65,28.41,64.85,71.77,48.03,14064388.0,227533.0,116.02,10.56,10.84,35.66,0.38,123.21,43.8,1.61,0.665,4.69,-4.13,-11253.0,480160003.65,1.63,2.01,18.42,50.12,0.4,0.37,97.09,14.55,39.0,5.0,13.9,13794798.0,97.9,75.31,55.27,49.52,62150000.0,14.38,3.34,19038233.0,77.87,1
100.0,12.6,15844.0,21.65,18.52,109.24,3.85,34.89,92.2,19.54,3.16,112.81,0.98,366000000000.0,11600.0,32.6,5.99,95210004.0,89.0,42.61,37.39,68.25,77.85,48.25,4154629.0,313429.0,131.19,58.32,39.93,57.73,1.495,138.87,20.6,0.15,0.665,4.69,-4.13,-992.0,526520019.5,1.63,0.84,18.38,50.61,0.3,0.31,97.09,30.26,24.2,8.55,13.9,1735323.5,99.91,96.07,38.87,3904.47,62150000.0,14.025,2.39,4022829.0,57.62,1
82.9,8.1,811.0,10.29,2.28,105.66,3.91,44.05,57.77,2.55,3.32,104.57,1.18,4850842541.0,9440.0,19.73,0.33,4198951.0,80.0,44.9,32.55,47.21,53.88,47.37,391180.0,17200.0,100.3,17.63,2.23,86.4,1.78,120.05,51.6,2.79,0.665,4.69,-4.59,-4897.0,125029998.8,1.05,0.98,21.72,50.36,0.4,0.4,97.09,9.59,65.4,8.55,13.9,901726.0,99.91,95.23,55.27,88.91,5190000.0,14.025,6.035,290545.0,40.73,1
97.7,6.56,2865.74,12.0,3.5999999999999996,125.67,2.94,14.34,5.2,0.07,0.36,114.32,3.38,14266499430.0,2150.0,22.195,5.99,95210004.0,63.0,37.07,14.27,52.455,67.7,44.875,9356574.0,652230.0,96.07,0.34,8.46,43.16,1.83,56.55,59.6,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.34,2.85,21.72,49.49,0.1,0.17,97.09,27.02,20.0,8.55,13.9,1735323.5,99.91,95.23,55.27,39.03,62150000.0,14.025,11.93,10551772.0,90.84,1
100.0,28.53,15844.0,24.83,0.86,129.62,4.79,20.92,40.71,0.15,0.09,121.75,0.0,17687623530.0,3560.0,23.4,2.7,1211677.0,68.0,27.14,16.47,54.8,67.5,45.15,4560387.0,112760.0,130.7,30.3,22.42,45.3,0.55,97.96,15.4,4.83,0.665,4.69,-4.13,1732.0,849979980.5,5.32,2.76,21.72,49.91,0.8,0.38,97.09,8.43,54.5,8.55,13.9,6632056.0,110.71,95.23,55.27,22.47,78140000.0,16.77,1.69,6364839.0,83.89,1
100.0,12.39,15844.0,9.68,15.9,84.35,9.32,22.84,68.29,12.07,33.1,89.6,3.38,359000000000.0,15040.0,22.195,0.38,96091680.0,99.0,21.53,38.01,52.455,67.62,44.875,4154629.0,91605.6,102.36,33.01,38.43,33.62,2.19,154.55,12.4,0.08,0.665,4.69,-4.13,-563.5,303769989.0,1.17,0.72,25.2,49.47,0.1,0.27,97.09,5.59,0.9,8.55,13.9,20798288.0,99.91,95.23,55.8,3128.53,62150000.0,14.025,9.28,4022829.0,38.83,1
100.0,5.97,15844.0,14.13,0.93,119.14,3.99,45.35,8.29,0.35,0.42,102.16,0.03,2406780519.0,2870.0,16.9,0.07,535475.0,90.0,42.61,32.13,57.17,71.2,45.53,962878.0,30360.0,92.6,30.3,22.42,114.63,1.56,79.83,15.4,6.53,0.665,4.41,-4.54,-1490.0,179199996.9,0.13,1.21,21.72,50.66,0.4,0.42,97.09,23.33,33.6,8.55,13.9,1608881.0,90.07,95.23,55.27,66.62,4850000.0,14.025,6.035,672573.0,30.24,1
82.5,22.85,390.66,23.34,21.37,131.19,4.96,66.75,49.58,1.98,0.24,124.71,0.0,26961061152.0,4430.0,33.71,2.98,454908154.0,83.0,62.36,36.83,70.15,82.31,47.25,8922729.0,176520.0,94.16,13.69,0.26,57.73,2.35,119.96,24.6,5.35,0.665,4.69,-4.13,-24262.0,480160003.65,2.71,1.17,21.72,50.5,0.5,0.35,94.66,21.6,52.4,8.55,13.9,12496843.0,108.74,95.23,55.27,170.23,119990000.0,14.025,0.4,4092180.0,60.98,1
97.9,9.3,48.0,14.5,12.11,99.72,4.42,17.71,219.35,3.48,13.2,107.03,2.71,86053083476.0,11810.0,19.04,5.17,332469285.0,81.0,31.78,22.34,38.35,80.46,33.24,6764382.0,107160.0,118.58,24.87,22.4,46.9,0.4,125.65,22.9,0.61,0.665,4.69,-4.13,-563.5,512549987.8,1.63,1.48,17.44,50.5,0.2,0.42,97.09,19.38,62.1,8.55,13.9,8170759.0,103.81,95.23,55.27,126.01,56750000.0,14.025,2.17,8938987.0,52.52,1
91.8,6.02,15844.0,1.26,1.3,105.3,6.47,55.54,28.25,2.65,1.33,104.82,3.38,20217946921.0,16490.0,22.195,1.48,40017534.0,64.0,18.95,50.92,37.8,54.34,39.77,688927.0,257670.0,102.67,10.09,5.39,57.76,1.54,134.32,39.9,0.58,0.665,4.69,-4.13,1516.0,98550003.05,0.66,2.1,21.72,49.07,0.4,0.44,97.09,16.2,91.3,12.8,13.9,224215.0,99.95,71.44,55.27,40.58,28060000.0,15.31,6.035,2116964.0,37.59,1
100.0,18.36,1471.0,21.89,27.58,114.68,2.27,31.31,92.2,19.63,6.94,104.92,0.02,17930565119.0,16040.0,17.15,0.42,6384226.0,87.0,44.71,20.75,51.79,65.74,44.31,1382433.0,27400.0,91.79,8.41,6.31,62.89,1.22,92.32,9.5,3.58,0.665,4.69,-4.21,-10612.0,633419982.9,3.2,-0.93,21.72,50.05,0.1,0.39,97.22,35.71,41.9,5.2,13.9,1041188.0,97.11,97.67,59.97,988.03,104100000.0,14.54,12.47,1770478.0,50.01,1
99.8,11.23,27650.0,3.16,2.1,108.76,5.61,23.88,20.68,9.33,11.4,104.83,3.38,186000000000.0,14400.0,38.67,5.99,95210004.0,79.0,23.39,36.32,52.455,62.92,44.875,12202063.0,91605.6,97.32,3.95,2.69,40.86,1.495,106.42,22.3,0.12,0.665,4.69,-4.13,-18797.0,214449996.9,0.41,1.66,21.72,49.08,0.1,0.29,99.75,8.11,0.1,11.0,13.9,11370967.0,107.0,95.23,54.21,62.93,62150000.0,14.025,13.61,4022829.0,24.18,1
100.0,16.32,15844.0,27.78,5.01,96.72,4.65,12.52,11.35,6.46,10.3,97.52,3.38,469228219.7,7180.0,22.195,5.99,95210004.0,99.0,60.84,15.92,42.22,64.56,41.19,36740.0,720.0,101.64,23.45,1.61,55.84,1.495,60.68,11.2,3.265,0.665,4.69,-4.13,-948.0,113069999.7,1.63,0.72,21.72,50.54,0.4,0.66,99.06,0.0,1.8,8.55,13.9,81523.0,107.02,100.29,55.27,688.57,11190000.0,14.025,2.11,24494.0,35.88,1
100.0,6.71,12432.0,27.71,0.02,89.63,6.18,70.83,169.37,35.01,46.8,101.55,3.38,69673747132.0,26600.0,29.66,6.02,922201805.0,98.0,65.18,32.14,59.43,71.4,50.35,5014861.0,202950.0,110.96,36.27,37.78,116.47,1.12,122.78,2.7,0.21,0.665,4.69,-4.13,12961.0,139710006.7,0.47,-0.83,21.92,50.355000000000004,0.4,0.27,93.54,40.0,8.2,8.55,13.9,1868889.0,94.53,95.21,73.96,9313.43,80760000.0,14.025,3.9,7433696.0,2.63,2
73.7,1.79,2593.0,0.46,2.97,104.94,2.68,41.91,59.27,5.55,3.91,98.28,0.39,18750946600.0,16500.0,30.9,0.33,23428722.0,97.0,46.84,33.04,59.26,69.35,47.33,1114453.0,566730.0,90.5,3.57,28.73,84.37,1.495,160.74,39.9,0.52,0.665,4.69,-4.13,1816.0,96430000.31,0.0,1.64,21.72,50.64,0.4,0.43,97.09,10.77,27.4,8.55,13.9,736148.0,93.72,70.02,55.27,311.0,10320000.0,14.025,6.035,1852275.0,29.25,2
100.0,16.07,2758.0,5.3,32.01,104.6,4.25,34.89,50.89,2.02,17.4,107.39,3.38,18827148531.0,7650.0,22.195,7.29,109835608.0,73.0,42.61,34.13,55.4,62.03,47.02,3008076.0,230800.0,105.97,13.82,3.77,74.2,1.495,64.96,41.8,3.24,0.665,4.69,-4.13,-10303.0,575679992.7,0.56,1.43,21.72,49.6,0.4,0.31,90.18,21.95,51.5,8.55,13.9,4682315.0,100.34,95.23,55.27,82.56,97960000.0,14.025,2.0,2742742.0,85.34,2
100.0,16.18,11812.0,11.01,18.32,129.93,3.3,22.3,45.88,1.13,0.9,119.97,11.21,72794636654.0,6320.0,19.05,3.86,56851004.0,68.0,22.82,22.1,56.55,71.61,43.5,10263449.0,318000.0,117.98,23.44,14.99,40.25,0.91,162.17,71.5,2.23,0.665,5.07,-4.13,-21000.0,480160003.65,1.63,2.46,19.49,49.5,0.4,0.41,97.09,14.17,58.2,8.55,13.9,13140099.0,92.72,95.23,55.27,60.88,108140000.0,14.025,2.59,14338150.0,81.35,2
100.0,9.57,83981.77,2.51,6.47,97.74,4.49,70.62,92.2,10.89,24.1,102.8,12.45,374000000000.0,29630.0,25.99,5.99,95210004.0,96.0,63.39,37.72,52.33,78.57,39.02,16996006.0,328550.0,100.39,62.0,44.59,57.73,0.99,140.59,7.9,0.0,0.665,4.69,-4.13,-563.5,14390000.34,1.63,1.12,24.46,48.87,0.3,0.37,101.08,14.86,7.5,8.55,13.9,7488317.0,101.17,80.27,40.91,8166.98,43640000.0,14.025,4.64,26085557.0,24.65,2
100.0,11.81,6510.89,4.13,3.29,125.31,3.99,20.56,241.91,4.08,11.3,112.29,3.38,50007428571.0,16040.0,22.195,5.99,95210004.0,97.0,12.5,37.12,47.57,69.39500000000001,52.85,2013301.0,469930.0,113.87,30.3,22.42,26.79,1.495,98.63,41.4,0.06,0.665,4.69,-4.13,-4503.0,28709999.08,0.13,1.45,21.72,50.46,0.4,0.43,97.09,25.0,0.1,8.55,13.9,2980799.0,109.88,91.97,55.27,98.08,7070000.0,14.025,4.45,3361056.0,30.11,2
100.0,1.01,15844.0,11.21,3.78,95.82,3.25,18.13,216.96,35.94,48.9,100.37,1.35,28144331507.0,46680.0,29.55,18.0,95210004.0,95.0,18.65,29.26,53.55,71.31,44.6,4154629.0,364500.0,104.09,30.3,22.42,30.29,1.02,160.88,2.3,3.265,0.665,4.69,-4.13,-563.5,480160003.65,0.72,-0.46,21.72,51.4,0.4,0.9,97.09,9.68,8.8,8.55,13.9,10221684.0,102.22,102.16,63.17,597.575,62150000.0,14.025,2.83,4022829.0,7.53,2
100.0,1.42,9046.24,0.98,1.4,98.85,5.26,68.79,14.72,4.65,22.1,105.3,3.38,47786789104.0,17930.0,39.62,5.99,95210004.0,73.0,52.35,24.14,33.52,59.08,35.91,2222452.0,91605.6,118.22,6.34,16.06,106.41,1.495,111.96,10.7,0.73,0.665,4.69,-4.13,-696.0,343600006.1,0.19,1.21,17.37,49.38,0.2,0.39,97.09,15.96,3.1,8.55,13.9,1280107.0,99.91,95.23,55.27,164.66,64360000.0,14.025,6.035,5455170.0,8.81,2
