Access to electricity (% of population),"Adjusted net savings, including particulate emission damage (% of GNI)",Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, registered carrier departures worldwide","Annual freshwater withdrawals, total (% of internal resources)",Arable land (% of land area),"Birth rate, crude (per 1,000 people)",Cereal yield (kg per hectare),"Children out of school, primary, female","Children out of school, primary, male",Container port traffic (TEU: 20 foot equivalent units),"Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)",Crop production index (2014-2016 = 100),"Current account balance (BoP, current US$)","Death rate, crude (per 1,000 people)",Diabetes prevalence (% of population ages 20 to 79),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Expense (% of GDP),Exports of goods and services (% of GDP),External debt stocks (% of GNI),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)",Fertilizer consumption (kilograms per hectare of arable land),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),Food production index (2014-2016 = 100),Forest area (% of land area),Forest area (sq. km),Fuel exports (% of merchandise exports),GDP (current US$),GDP growth (annual %),"GNI per capita, PPP (current international $)","GNI, PPP (current international $)","Government expenditure on education, total (% of GDP)","Grants, excluding technical cooperation (BoP, current US$)",Gross savings (% of GDP),High-technology exports (% of manufactured exports),High-technology exports (current US$),"Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),"Incidence of tuberculosis (per 100,000 people)","Industry (including construction), value added (% of GDP)","Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force, female (% of total labor force)","Labor force, total",Land area (sq. km),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Livestock production index (2014-2016 = 100),Medium and high-tech exports (% manufactured exports),Medium and high-tech manufacturing value added (% manufacturing value added),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net ODA received (% of GNI),Net ODA received per capita (current US$),Net acquisition of financial assets (% of GDP),"Net incurrence of liabilities, total (% of GDP)",Net lending (+) / net borrowing (-) (% of GDP),Net migration,Net official development assistance received (current US$),Permanent cropland (% of land area),Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population growth (annual %),Population in urban agglomerations of more than 1 million (% of total population),"Population, female (% of total population)","Population, total","Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),Price level ratio of PPP conversion factor (GDP) to market exchange rate,"Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Renewable energy consumption (% of total final energy consumption),"Renewable internal freshwater resources, total (billion cubic meters)","Revenue, excluding grants (% of GDP)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),Rural population,Rural population (% of total population),"School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Secure Internet servers (per 1 million people),Short-term debt (% of total reserves),Surface area (sq. km),"Technical cooperation grants (BoP, current US$)","Total debt service (% of exports of goods, services and primary income)","Total reserves (includes gold, current US$)",Trained teachers in primary education (% of total teachers),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population,Urban population (% of total population),"Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)",Gender Ratio Class
94.1,8.385,53.31,31.96,10.89,14225.0,1.77,9.1,21.07,1870.7,11816.0,12074.0,1619953.5,8.24,5.29,105.87,-1537682902.0,5.61,5.1,4.22,24.83,39.37,47.84,12494060703.0,2.36,191.12,4.1,4.52,108.7,56.65,63383.1,0.01,28144331507.0,12.57,5690.0,58446482549.0,5.81,366160000.0,18.27,1.45,21992491.0,77.0,81.0,64.01,30.0,25.82,4.48,2.455,49.4,75.29,39.43,4452659.0,111890.0,72.53,67.89,70.12,114.8,43.95,7.16,10247000000.0,15067000000.0,89.94,1.54,73.56,16.6,2.4,60.06,0.665,4.69,-4.13,-5779.0,617309997.6,5.36,30.57,65.23,4.2,1.54,14.45,49.5,10278345.0,0.2,18.7,0.44,97.09,27.34,45.9,90.66,20.955,8.55,13.9,4215972.0,41.02,99.91,95.23,55.27,113.54,22.02,112490.0,33130000.0,14.9,8666862381.0,94.645,7.94,6062373.0,58.98,47.88,29.05,1
100.0,8.385,35.62,19.67,5.31,7647.37,15.67,13.0,14.09,2438.5,11816.0,12074.0,1619953.5,1.85,1.7,94.11,-453449368.5,3.02,9.2,2.87,24.83,34.89,51.52,4099728200.0,1.69,110.08,14.82,2.71,94.83,2.73,8.2,0.06,5254366312.0,5.15,17110.0,8924352849.0,4.61,88890000.0,22.195,2.01,10421.0,96.0,97.0,42.61,38.0,9.19,0.54,2.455,40.67,76.17,44.875,251908.0,300.0,81.02,79.08,79.92,99.44,0.32,2.63,285000000.0,2573000000.0,54.39,1.495,135.4,6.0,2.36,60.85,0.665,4.69,-4.13,1189.0,112410003.7,3.33,21.72,73.74,4.54,1.36,21.72,50.355000000000004,521457.0,0.1,5.2,0.53,97.09,4.6,1.4,0.03,24.77,8.55,13.9,307128.0,58.9,99.91,95.23,55.27,1229.25,22.02,300.0,6200000.0,14.025,805808189.4,94.645,5.02,214329.0,41.1,32.28,14.65,1
100.0,8.385,52.37,45.46,8.79,11210.0,24.52,22.18,14.02,4557.2,11816.0,12074.0,1619953.5,15.43,2.33,117.02,-3284272218.0,7.36,11.3,1.67,24.83,16.92,51.52,13759708513.0,1.99,153.94,10.54,12.6,119.22,34.11,21098.6,1.93,88609332762.0,4.21,13990.0,310000000000.0,1.51,242270000.0,33.0,1.05,94328328.0,96.0,97.0,24.31,63.0,29.95,7.01,2.455,32.54,71.74,33.5,8694780.0,61860.0,79.5,73.11,76.4,128.88,10.04,9.02,12499000000.0,20637000000.0,37.4,1.89,141.29,6.7,0.18,6.96,0.665,4.69,-4.13,-563.5,154110000.6,1.63,23.21,65.63,11.16,1.08,21.72,51.82,22156000.0,0.1,5.3,0.28,98.56,5.38,48.8,52.8,20.955,8.55,13.9,17977378.0,81.14,96.87,91.01,55.27,482.49,22.02,65610.0,59050000.0,14.025,3136991506.0,94.645,5.26,4178622.0,18.86,39.95,39.84,1
100.0,8.385,54.135000000000005,70.34,6.56,15844.0,9.245000000000001,1.75,43.56,502.6,11816.0,12074.0,1619953.5,13.98,9.21,101.06,-319279309.5,11.6,6.5,6.57,24.83,15.57,42.99,4211181016.0,2.03,1.07,0.69,0.53,99.82,9.41,59032.5,3.38,9838711529.0,3.31,1460.0,24842809046.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,66.51,250.0,24.14,3.4450000000000003,2.455,52.455,69.39500000000001,31.37,3038348.0,627340.0,57.41,53.25,55.28,99.67,30.3,22.42,8031000000.0,10024000000.0,57.73,1.495,51.82,15.4,3.265,60.85,0.665,4.69,-4.13,-17071.0,480160003.65,0.05,47.25,50.15,2.6,3.15,13.99,49.87,17065581.0,0.4,5.2,0.39,97.09,24.36,95.4,6.0,20.955,8.55,13.9,9090664.0,53.27,99.91,95.23,55.27,5.33,22.02,637660.0,85430000.0,14.025,8424740406.0,94.645,6.035,7974917.0,46.73,60.22,39.39,1
100.0,8.385,78.82,31.27,9.1,1929.0,0.02,1.61,30.69,887.4,11816.0,12074.0,1619953.5,3.42,2.87,104.78,1715906879.0,7.06,5.5,6.72,24.83,52.84,57.96,8254233304.0,4.17,9.75,0.26,12.4,105.06,64.22,219310.0,3.38,14825690210.0,1.02,6070.0,35450234462.0,3.67,102960000.0,38.85,6.54,38829158.0,77.0,68.0,32.71,42.0,42.89,1.72,2.455,66.76,68.12,49.9,2306220.0,341500.0,64.94,62.12,63.52,105.77,47.46,2.42,7390000000.0,2352000000.0,65.71,2.48,96.79,43.2,1.43,34.96,0.665,4.69,-4.13,-4466.0,204020004.3,0.37,41.4,55.92,2.68,2.32,21.72,50.06,5835806.0,0.4,5.2,0.4,97.09,11.26,71.4,222.0,20.05,8.55,13.9,1850943.0,31.72,99.91,95.23,55.27,10.28,22.02,342000.0,27880000.0,14.025,828560334.6,94.645,6.035,3984863.0,68.28,88.17,61.94,1
100.0,8.385,86.11,75.37,23.36,74453.15,5.64,40.48,37.12,1619.2,11816.0,12074.0,1619953.5,10.16,5.59,118.31,-3254163170.0,13.08,3.6,6.57,24.83,34.89,51.52,13759708513.0,5.24,18.61,0.03,0.05,117.33,23.57,214636.5,3.38,441000000000.0,3.65,5510.0,70041413822.0,4.255,258655000.0,22.195,6.49,195947207.0,62.0,60.0,42.61,219.0,31.41,3.4450000000000003,2.455,51.73,65.35,43.81,4154629.0,910770.0,53.07,52.29,52.68,111.54,65.14,33.44,46871000000.0,51880000000.0,22.4,1.01,91.44,15.4,0.82,16.53,0.665,4.69,-4.13,-563.5,480160003.65,7.25,43.29,53.73,2.98,2.41,16.85,49.47,6719538.0,0.4,15.9,0.37,97.09,3.61,80.3,221.0,20.955,8.55,13.9,1735323.5,47.25,99.91,95.23,55.27,63.03,22.02,923770.0,62150000.0,15.01,40476363167.0,94.645,5.39,4022829.0,52.75,85.53,83.73,1
72.5,8.385,46.01,19.89,22.79,20653.34,3.31,16.84,17.1,3743.6,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,98.9,-319279309.5,9.77,7.1,4.17,24.83,34.89,51.52,13758854822.0,2.15,38.66,1.67,0.98,80.46,43.29,20515.57,3.38,66345291160.0,5.15,5060.0,272000000000.0,4.255,258655000.0,22.195,5.07,305581286.0,90.0,89.0,42.61,42.0,37.31,3.4450000000000003,2.455,41.06,69.74,37.74,4154629.0,652670.0,69.0,62.55,65.67,105.97,30.3,22.42,15154000000.0,14327000000.0,44.44,1.495,126.27,41.5,2.31,28.0,0.665,4.69,-4.13,-563.5,480160003.65,2.31,24.88,68.49,6.63,0.7,21.72,50.22,53798084.0,0.9,3.8,0.24,97.09,15.29,62.9,32.15,20.955,8.55,13.9,1735323.5,68.55,99.91,95.23,55.27,12.57,22.02,676590.0,105700000.0,14.025,8424740406.0,94.645,4.34,16918421.0,31.45,63.91,61.89,1
86.3,8.385,68.72,55.39,19.66,13321.0,4.78,20.7,27.55,2360.5,11816.0,12074.0,1619953.5,11.46,4.65,131.73,-2541432817.0,7.63,2.6,2.88,24.83,30.06,58.05,13759708513.0,3.56,37.37,0.35,0.97,130.54,35.13,79929.33,3.38,79524421861.0,5.08,6340.0,208000000000.0,3.42,258655000.0,15.59,0.73,8559644.0,98.0,94.0,32.65,136.0,28.41,3.4450000000000003,2.455,64.85,71.77,48.03,14064388.0,227533.0,66.01,61.63,63.8,116.02,10.56,10.84,14727000000.0,13629000000.0,35.66,0.38,123.21,43.8,1.61,37.72,0.665,4.69,-4.13,-11253.0,480160003.65,1.63,37.25,59.27,3.48,2.01,18.42,50.12,32833031.0,0.4,4.9,0.37,97.09,14.55,39.0,30.3,14.93,5.0,13.9,13794798.0,42.02,97.9,75.31,55.27,49.52,22.02,238530.0,62150000.0,14.38,9916916900.0,94.645,3.34,19038233.0,57.99,77.87,62.37,1
100.0,8.385,45.56,39.43,12.6,15844.0,22.78,21.65,15.01,5947.1,11816.0,12074.0,1619953.5,18.52,9.04,109.24,-4628000000.0,7.32,6.1,3.85,24.83,34.89,40.26,13759708513.0,1.94,92.2,19.54,3.16,112.81,46.96,147189.9,0.98,366000000000.0,2.55,11600.0,70041413822.0,2.95,576900000.0,32.6,5.99,95210004.0,83.0,89.0,42.61,165.0,37.39,1.83,2.455,68.25,77.85,48.25,4154629.0,313429.0,78.24,69.12,73.62,131.19,58.32,39.93,8031000000.0,10024000000.0,57.73,1.495,138.87,20.6,0.15,5.4,0.665,4.69,-4.13,-992.0,526520019.5,1.63,22.55,68.7,8.75,0.84,18.38,50.61,6719538.0,0.3,5.0,0.31,97.09,30.26,24.2,32.15,20.955,8.55,13.9,1735323.5,61.95,99.91,96.07,38.87,3904.47,22.02,331340.0,62150000.0,14.025,8424740406.0,94.645,2.39,4022829.0,38.05,57.62,47.42,1
82.9,8.385,64.0,69.48,8.1,811.0,40.45,10.29,24.13,1432.4,11816.0,12074.0,1619953.5,2.28,2.12,105.66,125317735.1,11.36,4.6,3.91,24.39,44.05,51.52,1178834584.0,2.84,57.77,2.55,3.32,104.57,29.0,4987.7,1.18,4850842541.0,10.68,9440.0,11255085911.0,5.29,112770000.0,19.73,0.33,4198951.0,77.0,80.0,44.9,42.0,32.55,3.4450000000000003,2.455,47.21,53.88,47.37,391180.0,17200.0,61.25,53.37,57.07,100.3,17.63,2.23,2068000000.0,2123000000.0,86.4,1.78,120.05,51.6,2.79,104.87,0.665,4.69,-4.59,-4897.0,125029998.8,1.05,35.03,60.98,3.99,0.98,21.72,50.36,1192271.0,0.4,11.6,0.4,97.09,9.59,65.4,2.64,24.86,8.55,13.9,901726.0,75.63,99.91,95.23,55.27,88.91,22.02,17360.0,5190000.0,14.025,572281510.9,94.645,6.035,290545.0,24.37,40.73,27.69,1
97.7,8.385,84.6,58.74,6.56,2865.74,43.02,12.0,35.84,2099.0,11816.0,12074.0,1619953.5,3.5999999999999996,12.79,125.67,-319279309.5,7.34,10.9,2.94,24.83,14.34,51.52,3555784340.0,4.64,5.2,0.07,0.36,114.32,1.85,12084.4,3.38,14266499430.0,5.15,2150.0,86285361407.0,4.255,258655000.0,22.195,5.99,95210004.0,66.0,63.0,37.07,185.0,14.27,3.4450000000000003,2.455,52.455,67.7,44.875,9356574.0,652230.0,65.28,58.92,61.98,96.07,0.34,8.46,850000000.0,5308000000.0,43.16,1.83,56.55,59.6,3.265,116.97,0.665,4.69,-4.13,-563.5,480160003.65,0.34,43.42,54.17,2.4,2.85,21.72,49.49,40099462.0,0.1,5.2,0.17,97.09,27.02,20.0,47.15,20.955,8.55,13.9,1735323.5,73.69,99.91,95.23,55.27,39.03,22.02,652860.0,62150000.0,14.025,8424740406.0,94.645,11.93,10551772.0,26.31,90.84,78.62,1
100.0,8.385,84.01,35.03,28.53,15844.0,1.26,24.83,36.61,1408.6,11816.0,12074.0,1619953.5,0.86,0.62,129.62,-734659106.6,9.43,1.1,4.79,24.83,20.92,38.76,6821309315.0,4.97,40.71,0.15,0.09,121.75,27.36,30851.5,0.0,17687623530.0,7.16,3560.0,46230987531.0,3.2,587700000.0,23.4,2.7,1211677.0,76.0,68.0,27.14,53.0,16.47,1.73,2.455,54.8,67.5,45.15,4560387.0,112760.0,61.45,58.22,59.82,130.7,30.3,22.42,3642000000.0,4370000000.0,45.3,0.55,97.96,15.4,4.83,65.4,0.665,4.69,-4.13,1732.0,849979980.5,5.32,42.58,54.35,3.08,2.76,21.72,49.91,12996895.0,0.8,9.9,0.38,97.09,8.43,54.5,10.3,20.955,8.55,13.9,6632056.0,51.03,110.71,95.23,55.27,22.47,22.02,114760.0,78140000.0,16.77,8424740406.0,94.645,1.69,6364839.0,48.97,83.89,72.8,1
100.0,8.385,45.32,29.01,12.39,15844.0,9.245000000000001,9.68,13.7,1635.2,11816.0,12074.0,1619953.5,15.9,1.75,84.35,-319279309.5,6.44,9.1,9.32,24.83,22.84,51.52,10348874167.0,1.69,68.29,12.07,33.1,89.6,6.64,107656.3,3.38,359000000000.0,4.72,15040.0,70041413822.0,4.255,150230000.0,22.195,0.38,96091680.0,98.0,99.0,21.53,12.0,38.01,3.4450000000000003,2.455,52.455,67.62,44.875,4154629.0,91605.6,76.81,71.25,73.88,102.36,33.01,38.43,71646000000.0,49086000000.0,33.62,2.19,154.55,12.4,0.08,3.45,0.665,4.69,-4.13,-563.5,303769989.0,1.17,23.81,68.81,7.38,0.72,25.2,49.47,6719538.0,0.1,6.1,0.27,97.09,5.59,0.9,128.5,20.955,8.55,13.9,20798288.0,23.66,99.91,95.23,55.8,3128.53,22.02,100430.0,62150000.0,14.025,8424740406.0,94.645,9.28,4022829.0,76.35,38.83,39.8,1
100.0,8.385,62.09,80.14,5.97,15844.0,0.84,14.13,26.11,972.4,11816.0,12074.0,1619953.5,0.93,0.81,119.14,-194099832.7,14.19,4.6,3.99,24.83,45.35,51.52,1833103211.0,3.02,8.29,0.35,0.42,102.16,1.14,345.2,0.03,2406780519.0,1.85,2870.0,6543657989.0,4.255,149820000.0,16.9,0.07,535475.0,87.0,90.0,42.61,42.0,32.13,6.05,2.455,57.17,71.2,45.53,962878.0,30360.0,55.93,50.37,53.06,92.6,30.3,22.42,935000000.0,1824000000.0,114.63,1.56,79.83,15.4,6.53,78.55,0.665,4.41,-4.54,-1490.0,179199996.9,0.13,34.1,61.69,4.21,1.21,21.72,50.66,2281454.0,0.4,5.2,0.42,97.09,23.33,33.6,5.23,20.955,8.55,13.9,1608881.0,70.52,90.07,95.23,55.27,66.62,22.02,30360.0,4850000.0,14.025,798207194.3,94.645,6.035,672573.0,29.48,30.24,35.51,1
82.5,8.385,53.45,34.55,22.85,390.66,1.81,23.34,19.33,3565.6,11816.0,12074.0,1619953.5,21.37,9.67,131.19,-319279309.5,6.84,7.3,4.96,24.83,66.75,51.52,20050196517.0,2.34,49.58,1.98,0.24,124.71,44.83,79126.8,0.0,26961061152.0,3.03,4430.0,73412513745.0,3.01,507570000.0,33.71,2.98,454908154.0,87.0,83.0,62.36,282.0,36.83,2.92,2.455,70.15,82.31,47.25,8922729.0,176520.0,72.29,66.82,69.58,94.16,13.69,0.26,19307000000.0,28583000000.0,57.73,2.35,119.96,24.6,5.35,82.41,0.665,4.69,-4.13,-24262.0,480160003.65,2.71,29.3,65.17,5.53,1.17,21.72,50.5,16589023.0,0.5,4.8,0.35,94.66,21.6,52.4,120.6,18.15,8.55,13.9,12496843.0,75.33,108.74,95.23,55.27,170.23,22.02,181040.0,119990000.0,14.025,20269721098.0,94.645,0.4,4092180.0,24.67,60.98,45.2,1
97.9,8.6,60.85,43.04,9.3,48.0,3.04,14.5,21.12,2194.1,11816.0,12074.0,1619953.5,12.11,6.72,99.72,1890468140.0,6.5,13.1,4.42,24.83,17.71,51.52,13759708513.0,2.4,219.35,3.48,13.2,107.03,32.81,35162.0,2.71,86053083476.0,8.0,11810.0,202000000000.0,3.11,450460000.0,19.04,5.17,332469285.0,79.0,81.0,31.78,26.0,22.34,4.26,2.455,38.35,80.46,33.24,6764382.0,107160.0,72.65,66.01,69.24,118.58,24.87,22.4,13753000000.0,26607000000.0,46.9,0.4,125.65,22.9,0.61,29.96,0.665,4.69,-4.13,-563.5,512549987.8,1.63,32.93,62.17,4.9,1.48,17.44,50.5,17109746.0,0.2,13.3,0.42,97.09,19.38,62.1,109.2,20.955,8.55,13.9,8170759.0,47.76,103.81,95.23,55.27,126.01,22.02,108890.0,56750000.0,14.025,20934881435.0,94.645,2.17,8938987.0,52.25,52.52,36.82,1
91.8,8.385,67.56,8.36,6.02,15844.0,0.08,1.26,27.14,1587.6,11816.0,12074.0,1619953.5,1.3,0.59,105.3,-319279309.5,7.26,5.5,6.47,24.83,55.54,45.78,7806030500.0,3.49,28.25,2.65,1.33,104.82,91.27,235187.2,3.38,20217946921.0,1.47,16490.0,38608290592.0,2.7,46310000.0,22.195,1.48,40017534.0,75.0,64.0,18.95,42.0,50.92,1.09,2.455,37.8,54.34,39.77,688927.0,257670.0,68.49,63.49,65.82,102.67,10.09,5.39,8031000000.0,3646000000.0,57.76,1.54,134.32,39.9,0.58,42.09,0.665,4.69,-4.13,1516.0,98550003.05,0.66,36.42,59.68,3.9,2.1,21.72,49.07,2341179.0,0.4,23.0,0.44,97.09,16.2,91.3,164.0,20.955,12.8,13.9,224215.0,9.58,99.95,71.44,55.27,40.58,22.02,267670.0,28060000.0,15.31,8424740406.0,94.645,6.035,2116964.0,90.42,37.59,28.08,1
100.0,8.385,48.18,41.47,18.36,1471.0,2.96,21.89,10.24,5144.7,11816.0,12074.0,1619953.5,27.58,1.81,114.68,-1369694859.0,11.33,10.2,2.27,24.83,31.31,62.52,11054877742.0,1.39,92.2,19.63,6.94,104.92,28.79,7889.0,0.02,17930565119.0,8.91,16040.0,45086289512.0,3.02,264120000.0,17.15,0.42,6384226.0,98.0,87.0,44.71,15.0,20.75,2.04,2.455,51.79,65.74,44.31,1382433.0,27400.0,79.17,74.09,76.46,91.79,8.41,6.31,3559000000.0,7718000000.0,62.89,1.22,92.32,9.5,3.58,60.85,0.665,4.69,-4.21,-10612.0,633419982.9,3.2,16.28,67.48,16.23,-0.93,21.72,50.05,2811666.0,0.1,4.1,0.39,97.22,35.71,41.9,26.9,19.3,5.2,13.9,1041188.0,37.03,97.11,97.67,59.97,988.03,22.02,28750.0,104100000.0,14.54,5634561134.0,94.645,12.47,1770478.0,62.97,50.01,50.66,1
99.8,8.385,58.46,17.35,11.23,27650.0,9.245000000000001,3.16,21.52,1433.7,11816.0,12074.0,1619953.5,2.1,1.61,108.76,-4509654274.0,4.55,7.1,5.61,24.83,23.88,51.52,7378779147.0,2.89,20.68,9.33,11.4,104.83,0.82,19583.33,3.38,186000000000.0,3.8,14400.0,636000000000.0,5.51,112600000.0,38.67,5.99,95210004.0,81.0,79.0,23.39,54.0,36.32,7.23,2.455,52.455,62.92,44.875,12202063.0,91605.6,77.96,74.88,76.38,97.32,3.95,2.69,38637000000.0,37466000000.0,40.86,1.495,106.42,22.3,0.12,4.85,0.665,4.69,-4.13,-18797.0,214449996.9,0.41,30.71,63.11,6.18,1.66,21.72,49.08,44177969.0,0.1,2.5,0.29,99.75,8.11,0.1,11.25,20.955,11.0,13.9,11370967.0,25.74,107.0,95.23,54.21,62.93,22.02,100430.0,62150000.0,14.025,56211005199.0,94.645,13.61,4022829.0,74.26,24.18,27.86,1
