100.0,8.385,68.98,48.61,16.32,15844.0,9.245000000000001,27.78,23.05,3062.55,11816.0,12074.0,1619953.5,5.01,3.54,96.72,-33413648.47,6.97,15.0,4.65,24.83,12.52,45.14,13759708513.0,3.24,11.35,6.46,10.3,97.52,12.43,89.5,3.38,469228219.7,-2.67,7180.0,760864597.4,4.93,94170000.0,22.195,5.99,95210004.0,99.0,99.0,60.84,7.6,15.92,5.64,2.455,42.22,64.56,41.19,36740.0,720.0,73.72,68.42,70.99,101.64,23.45,1.61,16000000.0,246000000.0,55.84,1.495,60.68,11.2,3.265,60.85,0.665,4.69,-4.13,-948.0,113069999.7,1.63,34.62,59.18,6.2,0.72,21.72,50.54,106017.0,0.4,5.2,0.66,99.06,0.0,1.8,32.15,20.955,8.55,13.9,81523.0,76.9,107.02,100.29,55.27,688.57,22.02,750.0,11190000.0,14.025,361811847.8,94.645,2.11,24494.0,23.1,35.88,39.08,1
100.0,8.385,50.76,40.28,6.71,12432.0,4.19,27.71,9.28,3018.7,11816.0,12074.0,1619953.5,0.02,0.02,89.63,2157306620.0,8.129999999999999,5.6,6.18,24.83,70.83,62.06,13759708513.0,1.48,169.37,35.01,46.8,101.55,43.27,87821.0,3.38,69673747132.0,2.44,26600.0,247000000000.0,4.61,63740000.0,29.66,6.02,922201805.0,98.0,98.0,65.18,28.0,32.14,3.4450000000000003,2.455,59.43,71.4,50.35,5014861.0,202950.0,77.7,67.3,72.37,110.96,36.27,37.78,39762000000.0,41387000000.0,116.47,1.12,122.78,2.7,0.21,15.02,0.665,4.69,-4.13,12961.0,139710006.7,0.47,16.84,66.33,16.83,-0.83,21.92,50.355000000000004,9302585.0,0.4,2.5,0.27,93.54,40.0,8.2,34.0,16.93,8.55,13.9,1868889.0,20.09,94.53,95.21,73.96,9313.43,22.02,207630.0,80760000.0,14.025,8424740406.0,94.645,3.9,7433696.0,79.91,2.63,5.28,2
73.7,8.5,57.5,45.63,1.79,2593.0,9.73,0.46,23.58,1002.4,11816.0,12074.0,1619953.5,2.97,3.0,104.94,-314582867.6,9.46,5.2,2.68,28.39,41.91,51.52,1981527906.0,2.79,59.27,5.55,3.91,98.28,26.71,151364.0,0.39,18750946600.0,11.92,16500.0,42718599230.0,4.255,90000000.0,30.9,0.33,23428722.0,95.0,97.0,46.84,228.0,33.04,7.24,2.455,59.26,69.35,47.33,1114453.0,566730.0,63.59,58.69,61.14,90.5,3.57,28.73,7420000000.0,8400000000.0,84.37,1.495,160.74,39.9,0.52,37.25,0.665,4.69,-4.13,1816.0,96430000.31,0.0,32.91,63.49,3.59,1.64,21.72,50.64,2588423.0,0.4,22.9,0.43,97.09,10.77,27.4,2.4,20.955,8.55,13.9,736148.0,28.44,93.72,70.02,55.27,311.0,22.02,581730.0,10320000.0,14.025,4801608912.0,94.645,6.035,1852275.0,71.56,29.25,28.48,2
100.0,8.385,54.74,8.8,16.07,2758.0,3.86,5.3,21.97,4158.2,11816.0,12074.0,1619953.5,32.01,1.81,104.6,446504970.5,6.61,6.2,4.25,24.83,34.89,51.52,19239005262.0,2.5,50.89,2.02,17.4,107.39,71.75,165610.0,3.38,18827148531.0,2.53,7650.0,56795189947.0,1.86,383870000.0,22.195,7.29,109835608.0,75.0,73.0,42.61,143.0,34.13,3.76,2.455,55.4,62.03,47.02,3008076.0,230800.0,70.08,66.15,68.06,105.97,13.82,3.77,7695000000.0,6275000000.0,74.2,1.495,64.96,41.8,3.24,77.53,0.665,4.69,-4.13,-10303.0,575679992.7,0.56,31.02,64.63,4.36,1.43,21.72,49.6,7425057.0,0.4,4.7,0.31,90.18,21.95,51.5,190.4,20.955,8.55,13.9,4682315.0,63.06,100.34,95.23,55.27,82.56,22.02,236800.0,97960000.0,14.025,1950518268.0,94.645,2.0,2742742.0,36.94,85.34,72.7,2
100.0,8.385,79.21,73.9,16.18,11812.0,1.51,11.01,33.93,2237.2,11816.0,12074.0,1619953.5,18.32,9.2,129.93,-2874116509.0,9.0,2.1,3.3,24.83,22.3,42.97,13759708513.0,4.42,45.88,1.13,0.9,119.97,8.57,27238.27,11.21,72794636654.0,7.06,6320.0,174000000000.0,3.33,588390000.0,19.05,3.86,56851004.0,76.0,68.0,22.82,128.0,22.1,4.09,2.455,56.55,71.61,43.5,10263449.0,318000.0,59.94,57.4,58.6,117.98,23.44,14.99,15334000000.0,13966000000.0,40.25,0.91,162.17,71.5,2.23,57.37,0.665,5.07,-4.13,-21000.0,480160003.65,1.63,41.8,55.8,2.4,2.46,19.49,49.5,27478249.0,0.4,7.7,0.41,97.09,14.17,58.2,76.84,20.955,8.55,13.9,13140099.0,47.82,92.72,95.23,55.27,60.88,22.02,322460.0,108140000.0,14.025,8424740406.0,94.645,2.59,14338150.0,52.18,81.35,63.55,2
100.0,8.385,43.29,26.09,9.57,83981.77,1.16,2.51,15.24,3824.3,11816.0,12074.0,1619953.5,6.47,1.96,97.74,-319279309.5,6.03,19.0,4.49,24.83,70.62,51.52,13759708513.0,1.8,92.2,10.89,24.1,102.8,58.02,190638.9,12.45,374000000000.0,3.3,29630.0,70041413822.0,4.26,61180000.0,25.99,5.99,95210004.0,95.0,96.0,63.39,97.0,37.72,2.48,2.455,52.33,78.57,39.02,16996006.0,328550.0,77.36,72.66,74.88,100.39,62.0,44.59,8031000000.0,10024000000.0,57.73,0.99,140.59,7.9,0.0,0.43,0.665,4.69,-4.13,-563.5,14390000.34,1.63,22.96,69.79,7.25,1.12,24.46,48.87,33573874.0,0.3,2.7,0.37,101.08,14.86,7.5,32.15,15.09,8.55,13.9,7488317.0,22.3,101.17,80.27,40.91,8166.98,22.02,330411.0,43640000.0,14.025,8424740406.0,94.645,4.64,26085557.0,77.7,24.65,19.76,2
100.0,8.385,56.57,72.01,11.81,6510.89,9.245000000000001,4.13,21.59,2096.2,11816.0,12074.0,1619953.5,3.29,1.87,125.31,-319279309.5,6.59,6.7,3.99,24.83,20.56,51.52,4850980367.0,2.67,241.91,4.08,11.3,112.29,8.78,41270.0,3.38,50007428571.0,6.2,16040.0,70041413822.0,3.85,24600000.0,22.195,5.99,95210004.0,97.0,97.0,12.5,47.0,37.12,3.4450000000000003,2.455,47.57,69.39500000000001,52.85,2013301.0,469930.0,72.66,65.87,69.26,113.87,30.3,22.42,9377000000.0,4022000000.0,26.79,1.495,98.63,41.4,0.06,4.53,0.665,4.69,-4.13,-4503.0,28709999.08,0.13,31.22,63.87,4.91,1.45,21.72,50.46,6341855.0,0.4,5.7,0.43,97.09,25.0,0.1,1.41,20.955,8.55,13.9,2980799.0,47.0,109.88,91.97,55.27,98.08,22.02,488100.0,7070000.0,14.025,8424740406.0,94.645,4.45,3361056.0,53.0,30.11,27.91,2
100.0,8.385,71.12,12.78,1.01,15844.0,18.23,11.21,6.6,6787.3,11816.0,12074.0,1619953.5,3.78,0.74,95.82,-319279309.5,11.7,6.6,3.25,21.64,18.13,51.52,13759708513.0,1.3,216.96,35.94,48.9,100.37,68.41,20515.57,1.35,28144331507.0,2.56,46680.0,70041413822.0,3.34,258655000.0,29.55,18.0,95210004.0,99.0,95.0,18.65,11.0,29.26,-0.23,2.455,53.55,71.31,44.6,4154629.0,364500.0,87.57,81.47,84.45,104.09,30.3,22.42,8031000000.0,10024000000.0,30.29,1.02,160.88,2.3,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.72,11.77,58.44,29.79,-0.46,21.72,51.4,6719538.0,0.4,3.2,0.9,97.09,9.68,8.8,32.15,20.955,8.55,13.9,10221684.0,8.13,102.22,102.16,63.17,597.575,22.02,377974.0,62150000.0,14.025,8424740406.0,94.645,2.83,4022829.0,91.87,7.53,8.62,2
100.0,8.385,50.78,8.72,1.42,9046.24,9.245000000000001,0.98,17.83,669.4,11816.0,12074.0,1619953.5,1.4,0.79,98.85,-319279309.5,6.02,8.7,5.26,24.83,68.79,51.52,13759708513.0,2.46,14.72,4.65,22.1,105.3,0.12,2170.0,3.38,47786789104.0,5.15,17930.0,121000000000.0,4.255,281860000.0,39.62,5.99,95210004.0,73.0,73.0,52.35,59.0,24.14,2.87,2.455,33.52,59.08,35.91,2222452.0,91605.6,74.4,69.63,71.91,118.22,6.34,16.06,33417000000.0,17432000000.0,106.41,1.495,111.96,10.7,0.73,51.01,0.665,4.69,-4.13,-696.0,343600006.1,0.19,28.86,66.32,4.82,1.21,17.37,49.38,6735277.0,0.2,8.4,0.39,97.09,15.96,3.1,0.7,20.955,8.55,13.9,1280107.0,19.01,99.91,95.23,55.27,164.66,22.02,100430.0,64360000.0,14.025,8424740406.0,94.645,6.035,5455170.0,80.99,8.81,15.2,2
100.0,8.385,56.27,19.04,0.67,15844.0,12.32,5.66,5.9,2968.8,11816.0,12074.0,1619953.5,0.72,0.13,107.54,-319279309.5,10.2,13.3,0.68,24.83,54.41,51.52,13759708513.0,0.91,92.2,23.64,22.3,91.37,56.01,4968.2,3.38,106000000000.0,0.39,27960.0,91214417324.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,42.33,0.6,50.48,3.4450000000000003,2.455,31.26,69.39500000000001,41.13,1142991.0,8870.0,84.52,75.87,80.16,83.5,30.3,22.42,8031000000.0,10024000000.0,57.73,1.495,112.44,15.4,3.265,60.85,0.665,4.69,-4.13,-7408.0,480160003.65,1.8,13.65,63.99,22.36,-0.58,21.72,52.76,3262693.0,0.4,5.2,0.8,97.09,23.78,2.6,7.1,20.955,8.55,13.9,209073.0,6.41,99.91,95.23,55.27,494.38,22.02,8870.0,62150000.0,14.025,8424740406.0,94.645,7.9,3053620.0,93.59,8.68,16.19,2
100.0,8.385,45.09,35.47,4.37,19350.0,3.05,4.76,11.87,4672.8,11816.0,12074.0,1619953.5,2.28,0.99,97.42,-2060747763.0,7.19,8.8,1.99,20.94,36.18,56.18,13759708513.0,1.53,92.2,20.92,9.95,101.32,59.76,30512.4,0.02,64960725734.0,7.94,22150.0,114000000000.0,6.25,132700000.0,14.41,16.97,1457228331.0,93.0,89.0,34.61,10.0,20.61,1.73,2.455,50.11,73.52,40.76,2529009.0,51060.0,79.81,74.42,77.02,113.15,55.38,14.16,15494000000.0,20728000000.0,55.76,1.495,152.01,7.9,0.13,15.39,0.665,4.69,-4.13,2084.0,79309997.56,7.21,20.55,68.92,10.53,0.6,27.56,49.97,5153957.0,0.5,3.0,0.53,99.08,45.61,34.2,113.0,16.83,10.7,12.3,957348.0,18.58,108.85,95.23,55.27,1689.58,22.02,51100.0,19140000.0,12.63,6921168831.0,94.645,15.14,4196609.0,81.43,22.07,26.67,2
100.0,6.37,49.95,13.16,3.94,15844.0,1.5,7.43,9.6,2705.4,11816.0,12074.0,1619953.5,0.32,0.35,111.37,-319279309.5,8.129999999999999,5.6,8.46,24.83,29.77,51.52,13759708513.0,1.51,25.33,23.74,16.4,111.63,49.78,20515.57,3.38,28144331507.0,5.61,38030.0,70041413822.0,3.99,258655000.0,30.34,9.73,95210004.0,97.0,97.0,20.43,47.0,31.4,6.69,2.455,55.28,70.44,48.56,4154629.0,91605.6,74.51,65.51,69.9,111.81,29.99,32.24,8031000000.0,10024000000.0,43.31,1.495,168.98,5.1,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,0.11,17.72,66.69,15.59,-0.34,23.47,50.355000000000004,6719538.0,0.4,2.5,0.32,97.09,16.22,3.5,32.15,19.77,8.55,13.9,1735323.5,25.07,101.91,93.34,54.95,16210.02,22.02,100430.0,62150000.0,15.89,8424740406.0,94.645,4.72,4022829.0,74.93,4.85,5.89,2
98.6,8.385,56.33,35.19,12.92,45832.2,0.73,4.49,21.84,2523.0,11816.0,12074.0,1619953.5,28.48,11.53,116.71,1580861017.0,9.95,5.5,3.89,24.83,27.83,40.7,16025613524.0,2.62,10.35,9.45,4.61,116.96,46.73,20515.57,3.38,40406111693.0,6.11,9110.0,110000000000.0,4.255,108850000.0,13.85,4.55,22371253.0,70.0,75.0,31.2,107.0,26.36,0.74,2.455,57.6,78.64,42.46,5664325.0,1083300.0,66.8,60.88,63.63,116.99,3.25,11.94,11030000000.0,9121000000.0,49.87,1.41,99.62,24.8,1.29,41.96,0.665,4.69,-4.13,-4666.0,506820007.3,0.23,31.12,63.97,4.91,1.19,21.72,49.84,12079472.0,0.4,19.4,0.36,97.09,46.15,12.8,32.15,20.955,8.55,13.9,3566464.0,29.53,98.86,91.5,55.27,241.65,22.02,1098580.0,62150000.0,14.22,4730168840.0,94.645,5.09,8513008.0,70.48,72.85,61.16,2
95.3,8.385,53.78,29.41,2.66,71789.0,0.89,7.62,17.69,3515.4,11816.0,12074.0,1619953.5,6.65,3.78,129.48,-778778854.8,6.07,8.2,1.41,24.83,41.11,51.52,13759708513.0,2.33,123.91,14.84,20.2,111.52,56.65,42024.23,0.18,67406738100.0,5.15,29210.0,127000000000.0,3.71,54470000.0,30.64,0.26,333800.0,87.0,92.0,37.66,42.0,26.22,1.63,2.455,50.42,74.49,40.76,1996749.0,74180.0,79.59,73.05,76.22,101.11,7.69,6.21,13161000000.0,20596000000.0,50.08,1.495,147.7,14.1,0.14,21.01,0.665,4.69,-4.13,5473.0,91400001.53,1.45,26.41,65.03,8.57,1.32,21.72,49.98,4351267.0,1.0,5.3,0.5,94.78,22.54,28.0,136.6,20.955,8.55,13.9,1358683.0,31.23,100.74,82.87,53.04,1546.45,22.02,75320.0,8610000.0,14.025,8832242051.0,94.645,10.45,2992584.0,68.78,34.92,39.71,2
100.0,9.44,71.03,21.71,3.28,20505.0,9.245000000000001,11.45,27.37,2729.6,11816.0,12074.0,1619953.5,14.28,3.41,127.72,-319279309.5,4.75,10.7,4.96,24.83,37.32,51.52,25341439233.0,3.5,55.18,14.83,5.9,127.65,1.9,8250.0,3.38,210000000000.0,1.5,12470.0,543000000000.0,4.255,258655000.0,22.195,5.99,95210004.0,78.0,75.0,24.18,24.0,24.14,6.04,2.455,52.455,69.17,44.875,10683686.0,434128.0,72.42,68.2,70.38,123.89,0.04,5.86,91514000000.0,50707000000.0,67.82,2.3,93.6,24.3,0.87,41.59,0.665,4.69,-4.13,-563.5,480160003.65,1.08,38.12,58.47,3.41,2.27,23.86,49.93,43533592.0,0.1,16.3,0.38,97.09,28.88,1.1,35.2,20.955,8.55,13.9,12572937.0,28.88,99.91,95.23,55.27,21.32,22.02,435050.0,62150000.0,14.025,64231022303.0,94.645,16.17,4022829.0,71.12,22.14,27.63,2
100.0,8.385,82.26,20.63,16.97,5017.0,0.4,13.12,34.94,1726.7,11816.0,12074.0,1619953.5,16.24,6.14,106.66,-1794494947.0,8.58,5.5,4.23,24.83,16.52,51.52,15373626443.0,4.46,13.39,2.23,3.22,104.44,42.91,202844.8,3.38,44993521774.0,3.34,4660.0,127000000000.0,2.83,558210000.0,13.95,2.15,5718462.0,69.0,62.0,20.23,164.0,24.5,2.27,2.455,66.7,75.15,47.5,11098782.0,472710.0,62.02,58.69,60.33,105.76,11.69,7.61,4317000000.0,6981000000.0,25.11,0.98,79.97,72.2,2.58,41.95,0.665,4.69,-4.13,-9889.0,1140959961.0,3.28,42.43,54.87,2.7,2.64,29.26,50.13,27198628.0,0.4,6.4,0.35,97.09,33.89,79.2,32.15,20.955,8.55,13.9,11383170.0,41.85,108.44,95.23,55.27,17.28,22.02,475440.0,62150000.0,14.025,4299788713.0,94.645,3.95,15815458.0,58.15,81.17,64.17,2
100.0,8.385,50.92,22.02,8.0,15996.0,2.24,4.12,16.82,4015.0,11816.0,12074.0,1619953.5,23.66,9.56,104.34,3097733032.0,6.72,4.4,3.26,26.66,27.0,55.57,13759708513.0,2.03,92.2,14.03,10.4,101.69,50.06,124335.6,3.38,107000000000.0,9.82,13240.0,236000000000.0,3.65,192050000.0,23.87,4.84,77485367.0,72.0,65.0,26.15,46.0,27.44,0.13,2.455,53.72,78.07,41.2,8652009.0,248360.0,77.46,70.26,73.67,94.55,7.0,13.49,26699000000.0,25690000000.0,48.76,2.24,94.34,12.6,0.28,16.9,0.665,4.69,-3.97,-563.5,300779998.8,5.73,26.1,66.26,7.64,1.18,27.78,50.07,17797737.0,0.4,13.9,0.45,93.94,39.42,18.9,32.15,23.32,8.55,13.9,6342935.0,35.64,98.21,95.23,55.27,429.04,22.02,256370.0,65550000.0,14.025,7912190380.0,94.645,4.55,11454802.0,64.36,61.83,45.19,2
99.8,8.53,57.27,46.49,4.37,464.0,24.17,32.24,8.5,5949.6,11816.0,12074.0,1619953.5,0.71,0.45,113.36,-1515830000.0,8.129999999999999,7.4,4.72,24.83,61.4,55.69,13759708513.0,1.58,131.06,32.77,11.5,109.51,35.98,39060.0,6.0,84041493016.0,7.66,28240.0,194000000000.0,4.73,258655000.0,20.11,10.92,95210004.0,89.0,89.0,59.57,17.0,20.85,3.3,2.455,49.03,62.0,46.13,3268751.0,108560.0,75.1,68.0,71.46,91.34,49.4,32.31,41157000000.0,46210000000.0,103.96,1.52,114.77,6.3,3.265,60.85,0.665,4.69,-4.65,-8716.0,480160003.65,1.37,13.99,63.58,22.42,-0.81,18.67,51.5,6877743.0,0.1,2.5,0.42,94.26,23.75,20.4,21.0,25.64,8.55,13.9,1648939.0,23.98,95.61,98.71,55.27,597.575,22.02,111000.0,62150000.0,10.97,39187742752.0,94.645,5.27,5228804.0,76.03,5.91,8.53,2
100.0,8.385,49.39,44.2,5.02,15844.0,0.86,19.69,8.42,4422.1,11816.0,12074.0,1619953.5,5.29,1.43,107.92,-418984246.9,8.129999999999999,9.1,5.89,28.11,42.57,55.89,13026483950.0,1.35,62.02,24.59,21.2,95.71,42.73,21879.1,8.54,23672712242.0,7.39,18160.0,59408516652.0,4.14,286250000.0,22.04,5.32,323354391.0,76.0,61.0,53.91,25.0,24.8,3.4450000000000003,2.455,39.63,60.57,40.61,1387825.0,51200.0,77.53,73.11,75.3,105.97,28.99,18.57,8614000000.0,13029000000.0,91.43,0.93,114.0,6.1,2.41,60.85,0.665,4.69,-4.13,-25865.0,564419982.9,2.11,14.92,66.94,18.14,-1.44,21.72,50.77,3270943.0,0.4,2.5,0.39,97.09,26.19,36.6,35.5,20.955,8.55,13.9,1654279.0,50.58,99.91,84.97,43.58,3925.17,22.02,51210.0,93620000.0,13.83,9475044026.0,94.645,14.9,1616664.0,49.43,21.76,17.22,2
100.0,8.385,52.15,67.87,12.0,50340.0,36.46,16.83,17.55,2329.0,11816.0,12074.0,1619953.5,3.5999999999999996,8.91,118.58,-3348692438.0,6.17,9.1,3.14,25.67,33.18,46.74,13759708513.0,2.33,55.29,6.15,6.8,116.58,12.89,57529.57,0.69,142000000000.0,8.02,8460.0,319000000000.0,5.64,546820000.0,28.22,4.3,1132107354.0,99.0,99.0,42.45,94.0,25.8,1.4,2.455,52.455,69.84,44.875,12285624.0,446300.0,76.4,71.89,74.04,112.1,61.95,41.23,35843000000.0,58034000000.0,66.2,1.495,137.46,17.9,0.69,26.06,0.665,4.96,-4.13,-563.5,966190002.4,3.99,26.85,65.72,7.42,1.05,22.07,49.66,37076584.0,0.1,6.3,0.44,100.3,22.78,10.9,29.0,24.25,8.55,13.9,13323470.0,35.94,99.91,82.18,42.82,600.97,22.02,446550.0,62150000.0,13.73,35648269520.0,94.645,10.54,23753114.0,64.07,54.66,44.02,2
100.0,8.385,58.33,23.09,1.97,15844.0,7.87,16.37,10.0,3502.4,11816.0,12074.0,1619953.5,0.3,0.1,101.94,-1002334986.0,14.0,6.5,3.73,24.83,34.89,51.52,13759708513.0,1.61,103.49,37.36,22.3,98.2,57.04,24384.0,6.84,36864792512.0,7.25,43940.0,58479129646.0,5.26,258655000.0,28.53,5.99,95210004.0,90.0,89.0,81.27,9.3,23.4,4.65,2.455,57.82,69.42,48.78,702984.0,42750.0,81.4,72.7,76.94,95.03,46.83,29.46,21560000000.0,23613000000.0,57.73,2.01,149.08,2.0,3.265,60.85,0.665,4.69,-4.13,2995.0,480160003.65,0.12,16.47,63.16,20.37,0.11,21.72,52.57,1330932.0,0.7,2.5,0.62,98.23,25.74,38.0,12.71,20.955,8.55,13.9,407066.0,30.59,98.81,113.01,73.15,597.575,22.02,45340.0,62150000.0,14.025,2371477145.0,94.645,6.18,923866.0,69.42,4.5,8.01,2
100.0,8.385,52.34,14.5,6.56,15844.0,9.245000000000001,4.85,15.145,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,-319279309.5,8.129999999999999,7.4,3.99,24.83,44.27,51.52,13759708513.0,2.03,92.2,11.86,20.3,105.58000000000001,85.5,171.0,3.38,750000000.0,-0.78,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,42.61,5.5,24.14,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,200.0,75.7,69.56,72.54,105.97,30.3,22.42,310000000.0,884000000.0,57.73,1.495,111.96,15.4,3.265,60.85,0.665,4.69,-4.13,-1646.0,480160003.65,9.65,27.51,65.64,6.84,0.86,21.72,50.51,45035.0,0.4,5.2,0.44,97.09,23.78,0.4,32.15,20.955,8.55,13.9,5778.0,12.83,99.91,95.23,55.27,466.3,22.02,200.0,62150000.0,14.025,8424740406.0,94.645,6.035,39257.0,87.17,29.265,27.884999999999998,3
100.0,8.385,52.86,5.56,0.29,15844.0,9.245000000000001,5.56,7.7,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,962257799.4,11.3,13.0,1.52,24.83,48.68,51.52,13759708513.0,1.3,239.47,35.58,38.7,105.58000000000001,18.52,10.0,0.02,7286607000.0,5.42,16040.0,6220347841.0,1.88,258655000.0,22.195,8.07,1878816.0,90.0,89.0,23.52,3.6,5.3,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,54.0,82.71,75.82,79.28,105.97,30.3,7.71,29000000.0,1055000000.0,14.88,1.495,105.94,15.4,3.265,60.85,0.665,4.69,-4.13,291.0,480160003.65,1.63,14.9,65.42,19.68,-0.2,21.72,51.76,63764.0,0.4,5.2,0.44,97.09,23.78,0.9,32.15,20.955,8.55,13.9,0.0,0.0,99.91,80.72,55.27,6257.45,22.02,4290.0,62150000.0,14.025,8424740406.0,94.645,6.035,63764.0,100.0,29.265,27.884999999999998,3
100.0,8.385,45.02,3.37,2.44,8802.0,9.245000000000001,0.33,16.8,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,102.55,-160167987.8,9.3,8.5,2.85,24.83,34.89,51.52,13759708513.0,2.46,92.2,33.56,15.3,105.58000000000001,73.26,337.0,0.0,1487173795.0,0.55,28720.0,2851007348.0,5.62,258655000.0,22.195,3.34,784869.0,94.0,94.0,42.61,12.0,11.75,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,460.0,75.6,71.3,73.4,105.97,30.3,22.42,464000000.0,1133000000.0,107.38,2.78,172.67,14.7,3.265,60.85,0.665,4.69,-4.13,146.0,480160003.65,3.04,23.16,68.96,7.89,0.81,21.72,50.355000000000004,99258.0,0.4,4.3,0.5,97.09,22.86,1.7,32.15,20.955,8.55,13.9,41716.0,42.03,109.63,102.95,26.87,597.575,22.02,460.0,62150000.0,14.025,702584737.7,94.645,6.035,57542.0,57.97,29.265,27.884999999999998,3
100.0,8.385,50.16,32.31,0.17,15844.0,9.245000000000001,10.81,9.6,3062.55,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,104.94,-319279309.5,6.9,6.1,3.99,24.83,34.89,51.52,13759708513.0,1.53,92.2,47.52,29.5,105.58000000000001,41.88,67.0,3.38,7710380086.0,5.15,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,42.61,42.0,40.2,3.4450000000000003,2.455,52.455,69.39500000000001,44.875,4154629.0,160.0,86.4,82.5,84.4,105.97,30.3,22.42,8031000000.0,10024000000.0,57.73,1.495,126.09,15.4,3.265,60.85,0.665,4.69,-4.13,231.0,480160003.65,1.63,14.55,66.59,18.86,0.73,21.72,50.43,39039.0,0.4,5.2,0.44,97.09,28.0,53.6,32.15,20.955,8.55,13.9,33390.0,85.53,102.11,118.73,46.02,597.575,22.02,160.0,62150000.0,14.025,8424740406.0,94.645,6.035,5649.0,14.47,29.265,27.884999999999998,3
98.1,8.385,52.74,51.1,5.67,3106.0,30.37,18.45,18.43,5232.0,11816.0,12074.0,1619953.5,2.92,0.93,119.04,-2685300000.0,6.68,10.5,2.11,24.83,21.75,49.02,13759708513.0,2.27,162.19,10.32,10.4,114.96,45.28,21521.9,0.77,94243425938.0,12.27,20830.0,232000000000.0,3.75,126520000.0,27.86,8.48,565390971.0,84.0,88.0,30.98,43.0,32.66,8.24,2.455,50.93,75.45,40.38,5101650.0,47531.0,76.29,69.3,72.62,106.86,30.3,22.42,12487000000.0,24282000000.0,39.01,0.65,87.56,33.2,0.5,40.33,0.69,4.69,-4.13,-14966.0,448420013.4,7.47,27.36,65.47,7.17,1.07,21.72,49.79,11117873.0,1.0,6.3,0.39,97.09,27.89,14.8,23.5,15.96,8.55,13.9,1866357.0,16.79,96.87,75.7,56.47,142.2,22.02,146839.31,15380000.0,16.72,13124643489.0,94.645,7.7,9251516.0,83.21,29.82,47.32,3
