100.0,8.385,47.06,27.34,0.9,5635.0,9.245000000000001,24.38,8.5,3062.55,11816.0,12074.0,1619953.5,0.13,0.03,104.94,214463105.7,8.0,8.0,1.21,24.83,34.89,51.52,13759708513.0,1.13,148.66,42.18,49.2,105.58000000000001,1.44,4.6,7.27,18123718947.0,12.51,48070.0,24926597964.0,5.36,258655000.0,27.2,5.99,763239296.0,99.0,90.0,42.61,12.0,12.57,1.5,2.455,53.18,71.54,40.66,282572.0,320.0,84.3,80.8,82.51,95.55,64.39,28.96,3064000000.0,7133000000.0,56.26,0.5,123.38,5.8,3.265,60.85,0.665,4.69,-4.13,10408.0,480160003.65,2.97,13.13,68.0,18.87,0.62,21.72,47.99,518536.0,0.2,4.6,0.65,98.47,13.43,8.6,0.05,20.955,8.55,13.9,26912.0,5.19,95.41,103.09,73.02,6180.86,22.02,320.0,62150000.0,14.025,1149326794.0,94.645,3.4,491624.0,94.81,6.83,14.03,4
100.0,8.385,76.49,15.34,6.56,8552.0,9.245000000000001,1.64,29.44,609.3,11816.0,12074.0,1619953.5,1.44,1.38,84.58,-75450988.23,5.4,15.6,5.17,24.83,9.37,44.28,490856951.6,3.74,0.01,1.03,1.19,84.08,36.28,4423.0,3.38,950394006.5,-1.55,3440.0,1097825941.0,4.255,125980000.0,22.195,5.99,95210004.0,62.0,50.0,52.45,34.0,24.14,2.34,2.455,60.28,77.55,44.28,132628.0,12190.0,72.95,68.4,70.45,81.76,30.3,22.42,54000000.0,339000000.0,41.35,1.495,78.3,18.7,3.265,60.85,0.59,4.69,-4.13,-197.0,166899993.9,10.25,39.62,56.66,3.72,2.36,21.72,49.71,319137.0,0.4,9.5,0.99,99.25,0.0,24.6,10.0,20.955,8.55,13.9,237230.0,74.34,99.91,95.23,55.27,2701.03,22.02,12190.0,35440000.0,14.025,664751367.3,94.645,4.73,81907.0,25.67,62.62,54.43,4
100.0,8.385,72.16,3.74,2.88,1238.0,0.08,1.89,30.5,3062.55,11816.0,12074.0,1619953.5,8.76,3.27,103.56,-319279309.5,9.04,5.5,5.18,24.83,45.13,51.52,13759708513.0,4.27,18.39,0.1,0.64,102.85,86.99,24400.6,3.38,12215878033.0,0.86,13550.0,22154736585.0,4.255,14650000.0,22.195,5.99,95210004.0,90.0,53.0,31.84,275.0,50.39,-0.1,2.455,49.66,56.77,42.35,535701.0,28050.0,62.73,58.78,60.59,99.23,30.3,22.42,5700000000.0,1746000000.0,60.95,1.46,49.97,15.4,0.14,7.81,0.665,4.69,-4.13,6486.0,12770000.46,1.68,38.77,58.09,3.15,2.38,21.72,50.355000000000004,1634466.0,0.4,5.2,0.41,97.09,23.0,5.2,26.0,15.32,8.55,13.9,432136.0,26.44,99.91,95.23,55.27,21.41,22.02,28050.0,1730000.0,14.025,44271185.59,94.645,9.19,1202330.0,73.56,86.54,72.05,4
76.3,8.385,74.81,4.29,6.56,5488.64,9.245000000000001,0.82,29.79,1899.8,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,108.11,-78191576.99,5.03,7.4,5.07,24.83,27.17,51.52,483164953.0,3.98,10.34,0.13,0.92,101.58,90.11,25222.4,3.38,1522794913.0,2.56,2750.0,1943893907.0,4.255,198850000.0,17.99,5.99,95210004.0,87.0,67.0,39.46,65.0,18.06,-0.12,2.455,52.455,84.64,48.56,357421.0,27990.0,71.96,68.93,70.35,101.19,30.3,22.42,371000000.0,526000000.0,58.9,1.495,66.96,18.9,3.265,60.85,0.665,4.69,-4.01,-808.0,264709991.5,3.18,39.34,57.21,3.46,2.38,21.72,48.9,707851.0,0.4,19.0,0.79,97.09,8.0,49.1,44.7,24.82,8.55,13.9,529982.0,74.87,99.91,95.23,55.27,100.3,22.02,28900.0,44210000.0,14.025,694515407.8,94.645,0.87,177869.0,25.13,75.31,53.63,4
100.0,8.385,66.94,29.74,1.26,23090.0,9.245000000000001,17.42,19.7,3353.4,11816.0,12074.0,1619953.5,0.04,0.02,94.81,-319279309.5,5.4,8.5,2.39,24.83,29.4,51.52,13759708513.0,3.0,265.38,29.71,39.1,101.44,6.47,1400.0,3.38,28144331507.0,8.61,45530.0,427000000000.0,6.18,258655000.0,29.27,5.99,95210004.0,98.0,99.0,25.8,2.8,17.17,1.51,2.455,59.68,67.06,47.79,4262382.0,21640.0,84.6,80.5,82.5,105.12,66.83,46.9,60159000000.0,92155000000.0,31.18,1.495,140.45,3.4,3.265,60.85,0.665,5.37,-4.45,16856.0,480160003.65,4.74,28.17,59.9,11.93,1.68,21.72,50.14,9371400.0,0.4,2.5,0.44,94.71,28.33,6.2,0.75,27.66,8.55,13.9,686549.0,7.33,96.25,96.93,58.99,13021.96,22.02,22070.0,62150000.0,14.025,8424740406.0,94.645,4.81,8684851.0,92.67,7.2,9.4,4
100.0,8.385,67.32,47.14,9.56,32.36,4.58,0.97,27.44,494.0,11816.0,12074.0,1619953.5,5.08,3.52,116.61,-1407426890.0,10.71,6.7,3.45,24.83,31.96,51.52,13759708513.0,3.3,3.73,3.18,3.27,96.06,7.98,65678.9,1.45,12402486184.0,3.6,10380.0,26257533218.0,4.255,151050000.0,22.195,0.07,639994.0,94.0,91.0,51.59,42.0,24.45,3.62,2.455,55.05,61.63,49.78,938865.0,823290.0,62.99,55.72,59.27,84.32,1.46,7.35,4417000000.0,6377000000.0,87.03,1.495,115.22,38.9,1.53,72.17,0.665,4.69,-4.13,-4301.0,182589996.3,0.01,36.21,59.77,4.03,1.64,21.72,51.74,2530151.0,0.4,17.1,0.45,97.09,44.23,30.0,6.16,20.955,12.4,13.9,1189044.0,47.0,99.91,95.23,55.27,273.5,22.02,824290.0,47940000.0,14.025,2763919782.0,94.645,6.035,1341107.0,53.01,39.16,25.49,4
98.8,8.385,50.94,0.5,8.9,373.0,0.62,0.37,18.15,4638.3,11816.0,12074.0,1619953.5,5.59,3.56,79.9,176057908.1,8.67,12.7,4.74,24.83,34.89,51.52,4139440483.0,2.35,175.48,19.9,19.4,87.81,97.33,151840.43,3.32,3081401726.0,-2.44,16090.0,9865121681.0,4.13,20080000.0,22.195,4.63,5291087.0,72.0,58.0,42.61,29.0,38.03,3.4450000000000003,2.455,44.23,63.88,41.45,243125.0,156000.0,73.55,67.21,70.27,125.22,36.06,11.53,2291000000.0,1381000000.0,119.17,1.495,147.83,17.2,1.07,46.95,0.665,4.69,-4.13,-492.0,28780000.69,0.03,26.48,66.25,7.27,0.97,21.72,50.18,612985.0,0.4,9.0,0.27,97.09,29.41,14.5,99.0,20.955,8.55,13.9,207072.0,33.78,97.55,95.23,55.27,5339.45,22.02,163820.0,3580000.0,14.025,992256911.9,94.645,8.46,405913.0,66.22,18.51,20.87,4
92.9,8.385,53.56,5.3,13.46,624.0,0.6,2.13,20.3,5442.6,11816.0,12074.0,1619953.5,5.63,1.75,97.56,-2503315525.0,9.99,11.7,2.8,24.83,34.89,51.52,1889705076.0,2.4,60.89,11.65,15.3,102.85,93.5,184061.33,3.38,8041362110.0,5.15,21900.0,17621818093.0,4.255,40430000.0,22.195,0.22,139915.0,98.0,95.0,42.61,64.0,50.39,5.03,2.455,39.33,60.22,41.26,283296.0,196850.0,69.1,62.48,65.67,139.31,30.3,22.42,4356000000.0,4376000000.0,108.59,1.0,106.39,27.5,1.83,60.85,0.665,4.69,-4.13,-4316.0,138809997.6,0.15,28.71,65.12,6.16,0.92,21.72,51.07,804567.0,0.4,2.5,0.43,97.09,35.71,13.2,241.0,20.955,8.55,13.9,588163.0,73.1,99.72,85.52,55.27,65.87,22.02,214970.0,5350000.0,14.025,790784502.1,94.645,14.93,216404.0,26.9,30.38,27.92,4
88.8,8.385,60.38,75.77,27.82,5705.0,9.245000000000001,25.38,20.11,820.4,11816.0,12074.0,1619953.5,2.26,0.76,100.49,-319279309.5,5.12,14.9,3.99,24.83,24.8,58.77,5028598332.0,2.75,3.86,7.29,13.0,100.59,2.84,5220.8,3.38,8980060819.0,1.3,2780.0,59290128975.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,59.0,73.06,18.0,28.91,3.4450000000000003,2.455,52.455,60.91,44.875,5281602.0,183630.0,75.18,69.06,72.06,99.41,22.69,21.52,3914000000.0,6136000000.0,111.91,1.495,79.68,21.6,3.265,60.85,0.665,4.69,-4.13,-563.5,480160003.65,5.81,33.02,62.35,4.62,2.62,27.23,49.91,21324367.0,0.1,5.2,0.14,97.09,11.2,1.1,7.13,20.955,8.55,13.9,9356279.0,43.88,99.91,95.23,55.27,47.08,22.02,185180.0,62150000.0,14.025,8424740406.0,94.645,14.8,11968088.0,56.12,9.16,40.42,5
100.0,8.385,36.86,38.53,6.56,6773.0,9.245000000000001,10.295,10.11,3062.55,11816.0,12074.0,1619953.5,0.22,0.03,102.6,2682667730.0,4.11,7.8,0.85,24.83,34.89,51.52,13759708513.0,1.09,92.2,29.62,14.3,105.58000000000001,30.27,20515.57,3.38,30969334705.0,5.15,73470.0,50445191299.0,5.11,258655000.0,31.48,0.0,0.0,90.0,89.0,76.75,57.0,7.69,0.03,2.455,63.54,73.64,50.22,399806.0,33.0,87.95,82.82,85.4,105.97,0.22,6.06,1620000000.0,19219000000.0,67.29,1.495,185.66,15.4,3.265,60.85,0.665,4.69,-4.13,4004.0,480160003.65,1.63,14.61,73.06,12.32,1.52,21.72,50.355000000000004,686607.0,0.4,8.0,0.61,95.78,23.78,13.6,32.15,21.99,8.55,13.9,0.0,0.0,89.07,88.55,55.27,5138.31,22.02,33.0,62150000.0,14.025,26664872000.0,94.645,2.25,686607.0,100.0,2.06,4.7,5
99.8,8.385,52.53,19.0,6.46,20.0,9.245000000000001,0.66,11.4,3193.4,11816.0,12074.0,1619953.5,3.29,1.6,96.94,-541201377.2,14.8,9.1,3.53,24.83,42.83,51.52,9235152250.0,1.75,311.96,31.18,31.4,101.3,61.49,8270.0,3.38,5861427505.0,13.04,25020.0,15490196260.0,4.255,64540000.0,17.43,9.44,13067233.0,83.0,89.0,62.2,14.0,14.84,2.41,2.455,47.81,61.79,45.59,276234.0,13450.0,77.0,70.8,73.82,104.19,29.18,14.86,515000000.0,2956000000.0,59.22,1.56,178.4,2.9,2.23,60.85,0.665,4.69,-4.13,-101.0,133179992.7,0.41,18.18,65.56,16.26,-0.34,21.72,51.28,619211.0,0.1,2.5,0.39,99.21,24.69,39.6,32.15,20.955,8.55,13.9,199225.0,32.17,104.4,93.16,57.96,928.6,22.02,13810.0,39780000.0,14.025,1981678245.0,94.645,16.54,419986.0,67.83,13.04,21.05,5
100.0,8.385,80.21,60.31,6.36,15413.0,9.245000000000001,11.24,33.6,508.3,11816.0,12074.0,1619953.5,9.21,3.39,116.62,-2620163040.0,6.8,18.9,4.83,24.83,2.25,51.52,22968456717.0,4.46,7.1,0.06,0.27,110.7,9.74,181873.9,3.38,34229513775.0,-1.87,3290.0,150000000000.0,4.255,258655000.0,6.72,5.99,95210004.0,84.0,81.0,1.88,58.0,7.37,3.4450000000000003,2.455,28.84,68.38,44.875,13019705.0,91605.6,67.88,62.74,65.27,105.32,30.3,22.42,5027000000.0,9894000000.0,43.59,0.92,75.56,53.4,3.265,83.7,0.665,4.69,-4.13,-15223.0,480160003.65,0.12,41.09,55.49,3.42,2.7,21.72,50.03,45657202.0,0.1,11.9,0.22,97.09,23.78,61.0,4.0,20.955,8.55,13.9,1735323.5,64.41,99.91,95.23,55.27,8.96,22.02,100430.0,72600000.0,14.025,8424740406.0,94.645,11.47,16250768.0,35.59,66.96,55.57,5
100.0,8.385,37.69,16.3,1.74,15844.0,14.3,4.38,11.49,3062.55,11816.0,12074.0,1619953.5,0.2,0.43,72.91,-221370917.0,10.3,11.7,3.35,24.83,34.89,46.94,892737914.9,1.4,199.76,10.68,18.0,78.34,34.05,207.7,3.38,1834796402.0,12.23,17890.0,3213675039.0,4.255,52930000.0,22.195,5.99,95210004.0,80.0,77.0,42.61,2.6,11.38,2.41,2.455,63.79,73.28,47.33,100490.0,610.0,74.72,67.84,71.11,89.65,32.68,7.83,59000000.0,602000000.0,36.03,1.495,95.63,17.4,5.68,60.85,0.665,4.69,-4.13,0.0,99949996.95,1.63,18.29,72.63,9.08,0.23,21.72,50.49,179651.0,0.4,5.2,0.55,97.09,11.11,9.7,0.3,20.955,8.55,13.9,145625.0,81.06,99.91,95.23,55.27,350.68,22.02,620.0,2390000.0,14.025,433117473.5,94.645,6.035,34026.0,18.94,17.93,24.68,5
100.0,8.385,64.6,9.43,6.56,15844.0,9.245000000000001,2.57,11.8,3062.55,11816.0,12074.0,1619953.5,0.34,0.21,104.94,-319279309.5,8.6,12.4,3.99,24.83,34.89,51.52,13759708513.0,2.01,92.2,11.86,12.4,105.58000000000001,57.31,200.6,3.38,4444000000.0,2.85,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,42.61,42.0,24.14,3.4450000000000003,2.455,43.82,65.07,44.32,45794.0,350.0,83.5,76.8,80.07,105.97,30.3,22.42,8031000000.0,10024000000.0,57.73,1.495,79.93,15.4,3.265,60.85,0.665,4.69,-4.13,-224.0,480160003.65,0.57,19.24,60.75,20.0,-0.4,21.72,50.355000000000004,105870.0,0.4,5.2,0.91,97.09,23.78,5.9,32.15,20.955,8.55,13.9,4192.0,3.96,99.91,95.23,55.27,472.28,22.02,350.0,62150000.0,14.025,8424740406.0,94.645,13.93,101678.0,96.04,4.95,8.59,5
100.0,8.385,39.26,1.3,0.48,27092.68,9.245000000000001,0.8,11.45,7477.3,11816.0,12074.0,1619953.5,0.3,0.34,101.75,-2433986830.0,8.99,8.8,2.87,26.11,29.5,51.52,13759708513.0,1.39,102.32,20.74,21.6,98.72,50.94,5098.6,3.38,11368900000.0,5.15,27240.0,11111812556.0,3.01,258655000.0,9.25,5.99,354749.0,86.0,82.0,43.45,12.0,11.22,2.9,2.455,64.29,77.1,48.25,230610.0,10010.0,75.1,68.12,71.6,91.86,36.41,27.77,543000000.0,3483000000.0,35.41,1.495,97.42,13.1,3.265,60.85,0.665,4.69,-4.13,485.0,480160003.65,0.3,19.62,71.81,8.57,0.35,21.72,52.19,407906.0,1.0,5.2,0.98,97.09,17.95,1.1,0.7,16.78,8.55,13.9,67855.0,16.64,93.82,95.23,55.27,2686.89,22.02,13880.0,62150000.0,14.025,2432716261.0,94.645,11.69,340051.0,83.37,8.64,22.43,5
100.0,8.385,60.84,4.05,11.44,57871.0,9.245000000000001,3.09,22.56,7338.5,11816.0,12074.0,1619953.5,18.95,2.5,104.17,-319279309.5,6.33,7.4,3.06,24.83,10.56,51.52,13759708513.0,2.92,92.2,9.77,9.94,109.2,0.05,449.8,3.38,425000000000.0,3.29,15360.0,70041413822.0,4.255,258655000.0,10.85,3.17,645859214.0,96.0,96.0,19.3,10.0,31.19,5.21,2.455,52.455,70.12,44.875,4154629.0,995450.0,72.61,67.94,70.22,122.85,31.4,22.73,41310000000.0,74453000000.0,27.26,1.12,94.68,18.7,1.93,72.68,0.665,4.69,-4.13,-563.5,480160003.65,0.96,33.05,62.17,4.77,1.66,24.44,49.42,6719538.0,0.1,7.2,0.25,97.47,27.7,6.1,1.0,20.955,8.55,13.9,1735323.5,57.14,99.75,85.59,55.27,38.68,22.02,1001450.0,62150000.0,14.025,39824388217.0,94.645,7.44,4022829.0,42.86,28.32,22.75,5
100.0,8.385,54.135000000000005,81.89,28.66,15844.0,2.78,10.295,34.84,1478.5,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,118.07,-393879529.0,7.47,6.5,7.48,24.83,5.0,51.52,975830735.5,5.08,19.07,0.03,0.12,119.32,10.89,2796.4,0.01,2775798697.0,3.1,870.0,10879490984.0,4.87,501290000.0,12.57,0.25,52895.0,94.0,90.0,23.82,100.0,10.6,8.4,2.455,52.455,78.45,51.1,5311768.0,25680.0,63.61,59.71,61.66,130.35,7.02,2.79,163000000.0,1025000000.0,42.8,2.04,61.67,52.3,3.265,48.46,0.665,4.69,-4.13,-14415.0,608239990.2,1.63,46.29,51.23,2.48,2.67,21.72,50.35,12551213.0,0.9,5.2,0.26,97.09,38.21,83.1,10.06,17.55,8.55,13.9,10786763.0,85.94,99.91,95.23,55.27,6.53,22.02,27830.0,28620000.0,10.97,266164087.5,94.645,1.11,1764450.0,14.06,90.49,77.28,5
100.0,9.28,44.18,57.84,5.73,15844.0,9.245000000000001,25.28,11.1,3297.4,11816.0,12074.0,1619953.5,3.5999999999999996,1.81,142.51,-319279309.5,7.6,5.6,4.73,21.69,46.49,51.52,15647994867.0,1.52,105.59,20.09,16.1,126.99,13.83,11432.97,3.38,54825411765.0,5.62,19690.0,200000000000.0,3.7,58570000.0,32.53,2.1,22212874.0,89.0,93.0,29.8,62.0,48.82,6.65,2.455,65.65,71.05,49.95,5263181.0,82650.0,73.29,65.65,69.37,118.46,40.11,12.98,22208000000.0,11703000000.0,61.85,1.495,104.89,18.8,0.02,0.96,0.665,4.69,-4.13,1084.0,9760000.23,3.32,23.92,69.36,6.72,0.44,23.39,50.65,10137750.0,0.1,2.5,0.27,96.56,18.18,1.3,8.12,20.955,8.55,13.9,4381941.0,43.22,97.73,91.43,39.01,416.86,22.02,86600.0,93380000.0,14.025,8290112835.0,94.645,6.04,5755809.0,56.78,59.76,47.91,5
100.0,8.385,56.51,45.1,0.64,73673.1,35.19,28.59,10.2,7906.2,11816.0,12074.0,1619953.5,0.91,0.4,98.11,-319279309.5,9.7,3.6,3.86,28.35,34.89,51.52,13759708513.0,1.6,265.71,43.02,28.6,102.85,22.76,6893.0,8.82,28144331507.0,6.93,62770.0,727000000000.0,6.36,258655000.0,26.99,5.99,95210004.0,98.0,96.0,86.14,8.1,19.33,2.44,2.455,50.04,59.11,46.8,5259744.0,30280.0,84.3,79.4,81.79,105.47,60.9,53.1,8031000000.0,10024000000.0,57.73,1.05,101.11,3.8,3.265,60.85,0.665,4.69,-4.0,-563.5,480160003.65,0.78,16.69,63.89,19.42,0.41,27.13,50.61,11586195.0,0.2,2.5,0.83,97.09,42.0,11.7,12.0,23.89,8.55,13.9,218168.0,1.88,101.82,95.23,55.27,597.575,22.02,30530.0,62150000.0,14.025,41872371153.0,94.645,6.26,11368027.0,98.12,8.26,12.77,5
100.0,8.385,54.93,53.82,1.52,15844.0,9.245000000000001,29.79,10.2,7872.3,11816.0,12074.0,1619953.5,0.55,0.21,103.94,-319279309.5,9.8,4.5,2.95,24.83,34.89,51.52,13759708513.0,1.62,274.35,42.95,28.3,103.93,11.0,3704.37,9.01,28144331507.0,6.19,68780.0,70041413822.0,5.51,258655000.0,33.42,5.99,95210004.0,95.0,93.0,72.85,4.4,18.16,2.68,2.455,60.63,69.34,47.24,9620091.0,33670.0,83.0,79.7,81.31,103.83,57.46,52.49,8031000000.0,10024000000.0,57.73,1.38,125.06,4.0,3.265,60.85,0.665,4.31,-3.36,-563.5,480160003.65,1.1,15.5,64.55,19.95,0.52,21.72,50.31,17533044.0,0.2,2.5,0.87,97.09,39.33,12.2,11.0,26.45,8.55,13.9,1302355.0,7.43,104.38,95.23,55.27,597.575,22.02,41540.0,62150000.0,14.025,64469433091.0,94.645,4.21,16230689.0,92.57,11.32,14.79,5
100.0,8.385,60.48,3.18,18.99,34007.0,0.05,0.73,25.51,4768.2,11816.0,12074.0,1619953.5,28.53,9.62,98.77,-319279309.5,6.68,16.7,6.54,24.83,34.89,51.52,19710405017.0,3.22,107.89,0.21,1.66,100.07,79.1,20515.57,3.38,26113333240.0,-0.78,3820.0,37983694550.0,4.255,586120000.0,22.195,5.99,86295937.0,90.0,89.0,42.61,42.0,34.05,4.48,2.455,46.16,69.39500000000001,47.9,3042793.0,452860.0,68.42,62.95,65.35,106.22,8.06,12.61,11269000000.0,5137000000.0,62.83,0.34,48.42,42.9,4.75,119.14,0.665,4.69,-4.13,10695.0,480160003.65,2.03,34.58,62.31,3.1,2.03,21.72,48.36,9949437.0,1.0,23.4,0.66,97.09,0.0,54.5,32.15,20.955,8.55,13.9,8610641.0,86.54,99.91,95.23,55.27,85.93,22.02,462840.0,62150000.0,14.025,3240131311.0,94.645,2.91,1338796.0,13.46,83.27,68.61,5
100.0,5.7,50.5,18.57,4.35,24518.0,0.17,1.2,13.1,3120.8,11816.0,12074.0,1619953.5,1.35,1.42,101.66,-687447229.0,6.3,5.5,3.99,24.83,37.25,51.52,13759708513.0,1.82,139.87,38.41,27.0,103.8,0.52,520.03,1.15,25797870984.0,5.15,62050.0,23115224566.0,4.255,258655000.0,20.24,5.99,239162849.0,92.0,92.0,39.04,2.2,20.56,4.44,2.455,69.05,77.48,45.91,222391.0,100830.0,84.6,81.8,83.17,103.47,36.72,13.9,5987000000.0,7817000000.0,53.51,1.495,118.07,2.7,3.265,60.85,0.665,4.92,-4.13,622.0,480160003.65,1.63,18.63,66.45,14.93,1.64,21.72,48.74,372520.0,0.1,2.5,0.44,98.53,47.62,82.4,170.0,20.955,8.55,13.9,22560.0,6.06,98.57,115.16,55.27,597.575,22.02,103000.0,62150000.0,14.025,7078849096.0,94.645,6.03,349960.0,93.94,7.76,11.9,5
100.0,8.385,82.45,59.57,27.32,15844.0,0.39,12.62,34.43,1344.9,11816.0,12074.0,1619953.5,24.34,10.52,104.94,-319279309.5,9.99,2.1,5.13,24.83,42.99,51.52,4607551461.0,4.4,6.86,0.01,0.0,138.17,25.02,61490.0,3.38,16091817842.0,3.9,3210.0,43433433101.0,2.04,394000000.0,22.195,5.99,95210004.0,90.0,89.0,62.81,175.0,28.84,3.4450000000000003,2.455,41.76,63.67,41.14,4121670.0,245720.0,60.1,57.6,58.89,102.32,30.3,22.42,10239000000.0,4187000000.0,89.65,1.48,101.94,15.4,4.28,43.76,0.665,4.69,-4.13,-4367.0,592090026.9,3.41,41.83,54.81,3.36,2.44,14.71,50.59,13531906.0,0.4,12.9,0.32,97.09,23.78,66.8,226.0,20.955,8.55,13.9,8489377.0,62.74,97.96,95.23,55.27,7.17,22.02,245860.0,50570000.0,14.025,8424740406.0,94.645,5.77,5042529.0,37.26,87.11,74.33,5
100.0,11.22,62.13,7.46,2.44,42598.0,2.8,7.38,9.0,2777.3,11816.0,12074.0,1619953.5,0.68,0.82,78.32,1222430602.0,10.4,6.1,5.15,27.2,39.48,51.52,13759708513.0,1.46,98.08,33.64,3.74,92.45,73.73,224090.0,7.0,296000000000.0,2.84,58690.0,325000000000.0,6.54,258655000.0,24.52,10.29,95210004.0,89.0,93.0,39.44,3.5,23.99,2.19,2.455,55.92,63.72,47.65,2799859.0,303947.7,84.6,79.3,81.89,99.87,50.35,46.12,81996000000.0,86013000000.0,56.67,1.26,129.15,2.3,3.265,60.85,0.665,4.69,-4.13,14928.0,480160003.65,0.01,15.43,61.68,22.89,0.21,23.76,50.6,5541017.0,0.4,2.5,0.93,99.28,46.0,50.2,107.0,22.6,8.55,13.9,798128.0,14.4,99.35,95.23,55.27,597.575,22.02,338470.0,62150000.0,14.025,16744106303.0,94.645,7.61,4742889.0,85.6,8.17,13.04,5
100.0,8.385,74.28,64.93,6.32,15844.0,41.23,6.95,28.24,2251.9,11816.0,12074.0,1619953.5,8.55,3.44,117.31,-1777950201.0,3.82,9.2,3.13,26.17,17.34,51.52,13759708513.0,3.5,92.2,8.01,9.37,117.39,1.68,101.4,0.07,18109000000.0,7.01,6800.0,33462218520.0,5.43,258655000.0,16.27,1.6,14531924.0,95.0,98.0,55.74,0.61,17.69,1.24,2.455,52.455,70.05,44.875,1299412.0,6025.0,75.94,71.09,73.47,118.46,15.11,7.21,8031000000.0,10024000000.0,57.73,1.495,77.6,14.8,3.265,60.85,0.665,4.69,-4.13,-12369.0,480160003.65,1.63,39.14,57.38,3.48,2.46,21.72,50.12,4922749.0,0.4,5.2,0.65,94.92,23.78,15.4,0.81,23.39,8.55,13.9,1132085.0,23.0,93.13,90.19,43.51,594.18,22.02,6025.0,62150000.0,14.025,872540971.0,94.645,6.035,3790664.0,77.0,20.18,21.94,5
100.0,8.385,55.4,34.25,7.23,1000.0,2.77,4.49,13.41,2748.8,11816.0,12074.0,1619953.5,23.9,10.76,126.82,-1942563332.0,8.129999999999999,5.7,3.86,27.2,42.67,51.52,22053309339.0,2.08,92.2,26.65,9.11,117.43,40.62,28224.0,0.79,18853115589.0,10.64,17740.0,65780416560.0,3.59,274720000.0,10.42,1.6,16787165.0,85.0,90.0,58.93,64.0,21.07,3.4450000000000003,2.455,56.12,73.62,47.46,1876551.0,69490.0,76.68,66.8,71.69,104.5,28.89,14.25,4243000000.0,10099000000.0,76.07,1.61,147.75,9.5,4.35,60.85,0.665,4.25,-4.13,-2734.0,769179992.7,1.84,21.09,64.35,14.56,-0.38,29.09,50.355000000000004,3708610.0,0.3,2.9,0.27,97.09,19.33,25.2,58.13,24.86,8.55,13.9,1488191.0,40.13,102.97,106.0,76.82,3725.12,22.02,69700.0,68860000.0,14.025,4270945063.0,94.645,11.79,2220419.0,59.87,45.08,49.35,5
100.0,8.385,45.96,43.28,0.88,15844.0,9.245000000000001,18.33,10.12,3062.55,11816.0,12074.0,1619953.5,1.32,0.61,104.94,-319279309.5,8.45,6.3,3.99,24.83,34.89,51.52,13759708513.0,1.46,92.2,11.86,12.4,105.58000000000001,5.15,10.2,3.38,11138490592.0,5.15,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,42.61,42.0,8.85,3.4450000000000003,2.455,51.22,65.01,44.74,84888.0,198.0,83.36,79.12,81.23,105.97,30.3,22.42,8031000000.0,10024000000.0,57.73,1.495,111.96,15.4,3.265,60.85,0.665,4.69,-4.13,1242.0,480160003.65,1.63,15.26,68.51,16.23,0.91,21.72,50.52,172683.0,0.4,5.2,0.44,97.09,23.78,20.2,32.15,20.955,8.55,13.9,119131.0,68.99,99.91,95.23,55.27,597.575,22.02,198.0,62150000.0,14.025,8424740406.0,94.645,6.61,53552.0,31.01,8.95,13.04,5
100.0,8.385,60.66,29.63,6.56,15844.0,9.245000000000001,1.85,16.38,3062.55,11816.0,12074.0,1619953.5,0.99,0.46,104.94,-319279309.5,7.34,19.1,3.99,24.83,3.1,51.52,13759708513.0,2.57,92.2,1.83,42.8,105.58000000000001,51.85,280.0,3.38,6234000000.0,2.06,16040.0,70041413822.0,4.255,258655000.0,22.195,5.99,95210004.0,90.0,89.0,58.74,39.0,24.14,3.4450000000000003,2.455,56.46,68.68,45.16,78638.0,540.0,80.7,72.98,76.66,105.97,30.3,22.42,44000000.0,808000000.0,13.67,1.495,111.96,15.4,3.265,60.85,0.665,4.69,-4.13,-244.0,480160003.65,1.63,26.3,62.24,11.46,0.77,21.72,49.64,170534.0,0.4,5.2,0.44,97.09,23.78,4.5,32.15,20.955,8.55,13.9,8501.0,4.99,99.91,95.23,55.27,1108.28,22.02,540.0,62150000.0,14.025,8424740406.0,94.645,6.0,162033.0,95.02,6.64,11.84,5
