Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Copper,Fats,Fiber,Folate,Iron,Magnesium,Monounsaturated Fat,Net carbs,Phosphorus,Polyunsaturated fat,Potassium,Protein,Saturated Fat,Selenium,Sodium,Vitamin A (IU),Vitamin A RAE,Vitamin B1,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Zinc,Manganese
Ice cream sundae cone,Dairy,0.06,254.0,29.0,0.015,8e-05,14.0,1.0,1.9e-05,0.0003599999999999,0.02,1.8,28.0,0.128,0.75,0.204,3.0,2.7,2.3e-06,0.115,410.0,0.000117,8.999999999999999e-05,3.5e-07,0.0002099999999999,0.0011,0.0003599999999999,5e-05,0.0,0.00056,8.999999999999999e-05
Coconut milk,Dairy,0.016,230.0,5.5,0.0,0.00027,24.0,2.2,1.6e-05,0.0016,0.037,1.0,3.3,0.1,0.26,0.263,2.3,21.0,6.2e-06,0.015,0.0,0.0,3e-05,0.0,0.0,0.00076,0.0001799999999999,3e-05,0.0028,0.00067,0.00092
Mozzarella,Dairy,0.731,280.0,3.1,0.054,3e-05,17.0,0.0,9e-06,0.00025,0.026,4.8,3.1,0.524,0.51,0.095,28.0,11.0,1.6e-05,0.016,517.0,0.000137,2e-05,9.2e-07,0.00034,0.0001199999999999,,8e-05,0.0,0.0031,
Chicken meat,Meat,0.015,239.0,0.0,0.088,7.000000000000001e-05,14.0,0.0,5e-06,0.0013,0.023,5.3,0.0,0.182,3.0,0.223,27.0,3.8,2.4e-05,0.082,161.0,4.8e-05,6e-05,3e-07,0.00017,0.0085,0.001,0.0004,0.0,0.0019,2e-05
Chicken gizzard,Meat,0.017,154.0,0.0,0.37,0.00016,2.7,0.0,5e-06,0.0032,0.003,0.53,0.0,0.189,0.35,0.179,30.0,0.67,4.1e-05,0.056,0.0,0.0,3e-05,1e-06,0.0002099999999999,0.0031,0.00047,7.000000000000001e-05,0.0,0.0044,7.000000000000001e-05
Chicken heart,Meat,0.012,153.0,0.71,0.136,0.00035,9.3,0.0,7.2e-05,0.006,0.015,2.4,0.71,0.177,2.7,0.176,16.0,2.7,4.3e-06,0.074,30.0,9e-06,0.00015,7.299999999999999e-06,0.00073,0.0049,0.0026,0.0003599999999999,0.0032,0.0066,8.999999999999999e-05
Chicken liver,Meat,0.008,119.0,0.73,0.345,0.00049,4.8,0.0,0.000588,0.009,0.019,1.2,0.73,0.297,1.3,0.23,17.0,1.6,5.5e-05,0.071,11078.0,0.003296,0.00031,1.7e-05,0.0018,0.0096999999999999,0.0062,0.00085,0.018,0.0027,0.00026
Chicken breast,Meat,0.016,187.0,0.51,0.091,5e-05,4.7,0.0,4e-06,0.0011,0.031,1.7,0.51,0.246,1.1,0.276,33.0,1.3,2.6e-05,0.079,23.0,7e-06,8e-05,3.7e-07,0.00013,0.015,0.001,0.00064,0.0,0.0011,2e-05
Chicken neck,Meat,0.018,297.0,0.0,0.099,8e-05,26.0,0.0,5e-06,0.0019,0.013,11.0,0.0,0.112,5.7,0.137,14.0,7.3,1.2e-05,0.064,216.0,6.5e-05,5e-05,2.6e-07,0.00019,0.0036,0.00085,0.00017,0.0,0.0019,3e-05
Chicken thigh,Meat,0.013,218.0,1.2,0.102,8.999999999999999e-05,10.0,0.0,9e-06,0.0015,0.026,3.8,1.2,0.199,2.4,0.259,28.0,2.8,2.1e-05,0.095,70.0,,8.999999999999999e-05,3.3e-07,0.00026,0.0070999999999999,0.0013,0.00038,0.0,0.0028,3e-05
Chicken wing,Meat,0.02,324.0,11.0,0.079,6e-05,22.0,0.3,1.8e-05,0.0013,0.016,9.0,11.0,0.121,5.1,0.138,20.0,5.8,2.6e-05,0.32,113.0,3.4e-05,0.00011,2.5e-07,0.00015,0.0053,0.0007099999999999,0.0003,0.0,0.0014,6e-05
Duck meat,Meat,0.011,337.0,0.0,0.084,0.00023,28.0,0.0,6e-06,0.0027,0.016,13.0,0.0,0.156,3.7,0.204,19.0,9.7,2e-05,0.059,210.0,6.3e-05,0.00017,3e-07,0.00027,0.0048,0.0011,0.0001799999999999,0.0,0.0019,2e-05
Domestic goose,Meat,0.014,238.0,0.0,0.096,0.00028,13.0,0.0,1.2e-05,0.0029,0.025,4.3,0.0,0.309,1.5,0.388,29.0,4.6,2.6e-05,0.076,40.0,1.2e-05,8.999999999999999e-05,4.9e-07,0.00039,0.0040999999999999,0.0018,0.00047,0.0,0.0032,2e-05
Quail meat,Meat,0.013,192.0,0.0,0.076,0.00051,12.0,0.0,8e-06,0.004,0.023,4.2,0.0,0.275,3.0,0.216,20.0,3.4,1.7e-05,0.053,243.0,7.3e-05,0.0002399999999999,4.3e-07,0.00026,0.0075,0.00077,0.0006,0.0060999999999999,0.0024,2e-05
Turkey meat,Meat,0.014,189.0,0.06,0.109,8.999999999999999e-05,7.4,0.0,9e-06,0.0011,0.03,2.6,0.06,0.223,2.1,0.239,29.0,2.2,3e-05,0.103,39.0,1.2e-05,5e-05,1e-06,0.00028,0.0096,0.00095,0.00062,0.0,0.0025,1e-05
Turkey neck,Meat,0.024,125.0,0.0,0.115,0.00014,6.0,0.0,5e-06,0.001,0.015,1.8,0.0,0.16,1.5,0.133,17.0,1.6,2.9e-05,0.233,43.0,1.3e-05,5e-05,1.8e-06,0.0002099999999999,0.0049,0.0008,0.0003599999999999,0.0,0.0034,6e-05
Turkey breast,Meat,0.013,157.0,0.0,0.065,7.000000000000001e-05,7.0,0.0,7e-06,0.0012,0.024,2.7,0.0,0.186,1.7,0.275,22.0,1.9,2.2e-05,0.059,6.0,2e-06,6e-05,4.2e-07,0.0001199999999999,0.0052,0.00062,0.0004799999999999,0.0,0.0016,2e-05
Turkey leg,Meat,0.017,144.0,0.0,0.071,0.00014,6.7,0.0,1e-05,0.0017,0.021,2.1,0.0,0.177,1.8,0.273,20.0,2.1,2.6e-05,0.074,3.0,1e-06,8e-05,3.9e-07,0.0002099999999999,0.0029,0.0011,0.00034,0.0,0.0031,2e-05
Turkey wing,Meat,0.014,197.0,0.0,0.07,8e-05,12.0,0.0,7e-06,0.0013,0.021,5.0,0.0,0.165,2.9,0.24,20.0,3.3,2.2e-05,0.055,11.0,3e-06,5e-05,3.9e-07,0.00011,0.0044,0.00055,0.00041,0.0,0.0015,2e-05
Foie gras,Meat,0.07,462.0,4.7,0.15,0.0004,44.0,0.0,6e-05,0.0055,0.013,26.0,4.7,0.2,0.84,0.138,11.0,14.0,4.4e-05,0.697,3333.0,0.001001,8.999999999999999e-05,9.4e-06,0.0003,0.0025,0.0012,6e-05,0.002,0.00092,0.0001199999999999
Ground turkey,Meat,0.028,203.0,0.0,0.093,0.00015,10.0,0.0,7e-06,0.0015,0.03,3.5,0.0,0.254,2.9,0.294,27.0,2.7,3.1e-05,0.078,79.0,2.4e-05,8e-05,1.3e-06,0.0002099999999999,0.0087,0.0012,0.00063,0.0,0.0031,1e-05
Ground chicken,Meat,0.008,189.0,0.0,0.107,6e-05,11.0,0.0,2e-06,0.00093,0.028,4.9,0.0,0.234,2.1,0.677,23.0,3.1,1.4e-05,0.075,0.0,0.0,0.0001199999999999,5.1e-07,0.0003,0.0070999999999999,0.0013,0.00054,0.0,0.0019,2e-05
Chicken feet,Meat,0.088,215.0,0.2,0.084,0.0001,15.0,0.0,8.6e-05,0.00091,0.005,5.5,0.2,0.083,3.0,0.031,19.0,3.9,3.6000000000000003e-06,0.067,100.0,3e-05,6e-05,4.7000000000000005e-07,0.0002,0.0004,,1e-05,0.0,0.00069,
Fajita,Meat,0.013,135.0,2.2,0.088,3e-05,5.7,0.0,4e-06,0.00099,0.022,2.3,2.2,0.277,1.1,0.284,19.0,1.6,1.7e-05,0.799,0.0,0.0,0.0001,5.4e-07,0.0002099999999999,0.0048,0.00073,0.00039,0.0,0.0014,7.000000000000001e-05
Barbecue chicken,Meat,0.016,226.0,0.12,0.127,8e-05,15.0,0.0,8e-06,0.00095,0.021,6.4,0.12,0.218,2.0,0.255,23.0,3.9,2.2e-05,0.335,67.0,2e-05,6e-05,4.7000000000000005e-07,0.00023,0.0057,0.00015,0.00019,0.0,0.0018,1e-05
Turkey ham,Meat,0.007,118.0,3.1,0.064,,4.0,0.0,,0.001,0.016,1.3,3.1,0.289,0.87,0.253,16.0,1.2,3.8e-05,0.909,53.0,1.6e-05,0.00023,8.000000000000001e-07,0.00027,0.0040999999999999,,6e-05,0.0,0.0021,
Ostrich,Meat,0.006,145.0,0.0,0.085,0.00015,2.6,0.0,1.5e-05,0.0028,0.025,0.97,0.0,0.251,0.44,0.362,28.0,1.0,3.8e-05,0.08,0.0,0.0,0.00023,6.3e-06,0.00029,0.0070999999999999,0.0013,0.00055,0.0,0.0049,2e-05
Blood sausage,Meat,0.006,379.0,1.3,0.12,4e-05,35.0,0.0,5e-06,0.0064,0.008,16.0,1.3,0.022,3.5,0.038,15.0,13.0,1.6e-05,0.68,0.0,0.0,7.000000000000001e-05,1e-06,0.00013,0.0012,0.0006,4e-05,0.0,0.0013,1e-05
Bockwurst,Meat,0.041,301.0,3.0,0.093,0.0001,26.0,1.0,1.7e-05,0.0012,0.026,13.0,2.0,0.169,2.3,0.27,14.0,10.0,1.1e-05,0.756,256.0,1.5e-05,0.00019,8.6e-07,0.00023,0.0056,0.00089,0.00038,0.0032,0.0021,0.00017
Bologna sausage,Meat,0.011,247.0,0.73,0.059,8e-05,20.0,0.0,5e-06,0.00077,0.014,9.7,0.73,0.139,2.1,0.281,15.0,6.8,1.3e-05,0.907,0.0,0.0,0.00052,9.3e-07,0.00016,0.0039,0.0007199999999999,0.00027,0.0,0.002,4e-05
Braunschweiger,Meat,0.009,327.0,3.1,0.18,0.0002399999999999,29.0,0.0,4.4e-05,0.011,0.011,13.0,3.1,0.168,3.2,0.199,15.0,9.3,5.8e-05,0.977,14051.0,0.00422,0.00025,2e-05,0.0015,0.0084,0.0034,0.00033,0.0,0.0028,0.00016
Chorizo,Meat,0.008,455.0,1.9,0.088,8e-05,38.0,0.0,2e-06,0.0016,0.018,18.0,1.9,0.15,3.5,0.398,24.0,14.0,2.1e-05,1.235,0.0,0.0,0.00063,2e-06,0.0003,0.0050999999999999,0.0011,0.00053,0.0,0.0034,4e-05
Headcheese,Meat,0.016,157.0,0.0,0.069,0.0001199999999999,11.0,0.0,2e-06,0.0015,0.009,5.6,0.0,0.056,1.1,0.031,14.0,3.4,1.0000000000000001e-07,0.941,0.0,0.0,2e-05,1.1e-06,0.0001199999999999,0.00044,,0.00019,0.0,0.0009699999999999,
Knackwurst,Meat,0.011,307.0,3.2,0.06,6e-05,28.0,0.0,2e-06,0.00066,0.011,13.0,3.2,0.098,2.9,0.199,11.0,10.0,1.4e-05,0.93,0.0,0.0,0.00034,1.2e-06,0.00014,0.0027,0.00032,0.00017,0.0,0.0017,2e-05
Leberkäse,Meat,0.008,304.0,2.1,0.174,0.00038,26.0,0.0,0.000104,0.011,0.012,12.0,2.1,0.207,3.4,0.226,15.0,9.0,3.7e-05,1.225,17490.0,0.005252,0.0002099999999999,2.5e-05,0.0022,0.012,0.0035,0.00047,0.003,0.0037,0.0002
Roast beef,Meat,0.005,115.0,0.64,0.051,8.999999999999999e-05,3.7,0.0,5e-06,0.0021,0.02,1.5,0.64,0.242,0.27,0.647,19.0,1.3,1.5e-05,0.853,11.0,3e-06,4e-05,2e-06,0.0002099999999999,0.0056,0.00057,0.00046,0.0,0.0032,2e-05
Luncheon meat,Meat,0.005,189.0,1.0,0.078,3e-05,13.0,0.0,0.0,0.0009699999999999,0.018,5.7,1.0,0.17,1.6,0.3,18.0,3.9,3.8e-05,0.82,0.0,0.0,0.00013,9.2e-07,0.0002099999999999,0.0052,0.00061,0.00027,0.0,0.0022,4e-05
Mortadella,Meat,0.018,311.0,3.1,0.056,6e-05,25.0,0.0,3e-06,0.0014,0.011,11.0,3.1,0.097,3.1,0.163,16.0,9.5,2.3e-05,1.246,0.0,0.0,0.0001199999999999,1.5e-06,0.153,0.0027,0.00044,0.00013,0.0,0.0021,3e-05
Chicken liver pate,Meat,0.01,201.0,6.6,0.391,0.0001799999999999,13.0,0.0,0.000321,0.0092,0.013,5.3,6.6,0.175,2.5,0.095,13.0,4.0,4.6e-05,0.386,724.0,0.000217,5e-05,8.1e-06,0.0014,0.0075,0.0026,0.00026,0.01,0.0021,0.00016
Pâté,Meat,0.07,319.0,1.5,0.255,0.0004,28.0,0.0,6e-05,0.0055,0.013,12.0,1.5,0.2,3.2,0.138,14.0,9.6,4.2e-05,0.697,3300.0,0.000991,3e-05,3.2000000000000003e-06,0.0006,0.0033,0.0012,6e-05,0.002,0.0029,0.0001199999999999
Pepperoni,Meat,0.019,504.0,1.2,0.097,8.999999999999999e-05,46.0,0.0,5e-06,0.0013,0.018,21.0,1.2,0.158,4.5,0.274,19.0,18.0,2.9e-05,1.582,0.0,0.0,0.00027,1.3e-06,0.00026,0.005,0.00093,0.0003599999999999,0.0,0.0024,0.0011
Salami,Meat,0.015,336.0,2.4,0.089,0.0003599999999999,26.0,0.0,3e-06,0.0016,0.019,11.0,2.4,0.191,2.5,0.316,22.0,9.3,3.1e-05,1.74,0.0,0.0,0.00037,1.5e-06,0.0003599999999999,0.0060999999999999,0.0012,0.00046,0.0,0.0029,0.00098
Cervelat,Meat,0.009,362.0,3.3,0.074,0.00015,30.0,0.0,2e-06,0.002,0.014,13.0,3.3,0.111,1.2,0.26,17.0,12.0,2e-05,1.3,0.0,0.0,0.00015,5.5e-06,0.00033,0.0043,,0.00026,0.017,0.0026,
Vienna sausage,Meat,0.01,230.0,2.6,0.087,3e-05,19.0,0.0,4e-06,0.00088,0.007,9.6,2.6,0.049,1.3,0.101,11.0,7.1,1.7e-05,0.879,0.0,0.0,8.999999999999999e-05,1e-06,0.00011,0.0016,0.00035,0.0001199999999999,0.0,0.0016,
Italian sausage,Meat,0.021,344.0,4.3,0.057,8e-05,27.0,0.1,5e-06,0.0014,0.018,17.0,4.2,0.17,3.5,0.304,19.0,10.0,2.2e-05,0.743,16.0,1e-05,0.00062,1.3e-06,0.00023,0.0042,,0.00033,0.0001,0.0024,
Turkey bacon,Meat,0.08,226.0,1.9,0.086,7.000000000000001e-05,17.0,,1e-05,0.0014,0.016,6.2,1.9,0.222,4.7,0.349,16.0,4.5,1.6e-05,1.069,34.0,1e-05,3e-05,1.2e-06,0.0002399999999999,0.004,0.00068,0.0002399999999999,,0.0025,2e-05
Liverwurst,Meat,0.022,305.0,5.9,0.118,0.0002399999999999,25.0,2.5,3e-05,0.0089,0.012,12.0,3.4,0.23,2.4,0.17,12.0,9.9,5.8e-05,0.7,13636.0,0.004091,0.00027,1.3e-05,0.001,0.0043,0.003,0.00019,0.0035,0.0023,0.00016
Polish sausage,Meat,0.012,259.0,3.6,0.066,8.999999999999999e-05,19.0,0.0,2e-06,0.00088,0.014,9.7,3.6,0.136,0.79,0.237,18.0,8.0,1.8e-05,1.54,0.0,0.0,0.0005,9.8e-07,0.00015,0.0034,0.00045,0.00019,0.0,0.0019,5e-05
Summer sausage,Meat,0.081,426.0,1.8,0.089,7.000000000000001e-05,38.0,0.2,7e-06,0.0023,0.013,14.0,1.6,0.178,3.0,0.206,19.0,10.0,7.5e-06,1.483,749.0,0.000225,0.00025,1.7e-06,0.00016,0.0029,0.00076,0.00013,0.0,0.0023,3e-05
Turkey sausage,Meat,0.032,235.0,1.6,0.16,0.00011,18.0,0.0,4e-06,0.0011,0.016,5.2,1.6,0.155,4.7,0.229,15.0,3.8,0.0,0.639,0.0,0.0,5e-05,7.900000000000001e-07,0.00017,0.0037,,0.0002099999999999,0.0005,0.003,
Bratwurst,Meat,0.007,297.0,2.0,0.078,8e-05,26.0,0.0,4e-06,0.001,0.015,8.0,2.0,0.13,1.6,0.283,12.0,6.1,1.4e-05,0.848,0.0,0.0,0.00038,2.7e-06,0.0002099999999999,0.0031,0.00069,0.0002,0.0,0.0025,4e-05
Kielbasa,Meat,,226.0,3.9,0.07,,18.0,0.0,,0.0012,,8.3,3.9,,2.3,,13.0,6.2,,1.2,0.0,0.0,,,,,,,0.015,,
Scrapple,Meat,0.007,213.0,14.0,0.049,0.0002099999999999,14.0,0.3,5e-06,0.0019,0.013,6.2,14.0,0.076,1.7,0.158,8.1,4.7,1.7e-05,0.482,2086.0,0.000626,0.0001199999999999,3.1e-07,0.00029,0.0023,,0.0001199999999999,0.0025,0.0011,
Meatball,Meat,0.08,286.0,8.1,0.066,0.0001199999999999,22.0,2.3,3.6e-05,0.0018,0.031,9.2,5.8,0.239,3.3,0.296,14.0,7.6,1.5e-05,0.666,73.0,2.2e-05,0.00014,1e-06,0.00023,0.0031,0.00092,0.0002,0.0,0.0017,0.00028
Pork belly,Meat,0.005,518.0,0.0,0.072,5e-05,53.0,0.0,1e-06,0.00052,0.004,25.0,0.0,0.108,5.7,0.185,9.3,19.0,8e-06,0.032,10.0,3e-06,0.0004,8.4e-07,0.0002399999999999,0.0046,0.00026,0.00013,0.0003,0.001,1e-05
Pork leg,Meat,0.005,245.0,0.0,0.073,7.000000000000001e-05,19.0,0.0,7e-06,0.00085,0.02,8.4,0.0,0.199,2.0,0.315,17.0,6.5,2.9e-05,0.047,7.0,0.0,0.00074,6.3e-07,0.0002,0.0046,0.00069,0.0004,0.0007,0.0019,2e-05
Pork loin,Meat,0.018,198.0,0.0,0.063,6e-05,13.0,0.0,1e-06,0.00079,0.021,5.6,0.0,0.197,1.3,0.356,20.0,4.4,3.3e-05,0.05,7.0,2e-06,0.0009,5.3e-07,0.00025,0.0046,0.0007199999999999,0.00047,0.0006,0.0017,1e-05
Pork,Meat,0.019,242.0,0.0,0.08,7.000000000000001e-05,14.0,0.0,5e-06,0.00087,0.028,6.2,0.0,0.246,1.2,0.423,27.0,5.2,4.5e-05,0.062,7.0,2e-06,0.00088,7e-07,0.00032,0.005,0.0007,0.00046,0.0006,0.0024,1e-05
Pork chop,Meat,0.056,231.0,0.0,0.078,0.00011,14.0,0.0,0.0,0.00087,0.02,4.9,0.0,0.241,1.9,0.315,24.0,4.3,3.6e-05,0.074,15.0,4e-06,0.00049,6.6e-07,0.00031,0.0079,0.0011,0.00049,0.0,0.0032,1e-05
Pork shoulder,Meat,0.015,236.0,0.0,0.071,8e-05,18.0,0.0,5e-06,0.0011,0.018,8.0,0.0,0.182,1.9,0.302,17.0,6.2,2.6e-05,0.065,7.0,2e-06,0.00077,7.4e-07,0.00028,0.0038,0.0007199999999999,0.00035,0.0007,0.0027,1e-05
Pork spare ribs,Meat,0.015,277.0,0.0,0.08,8e-05,23.0,0.0,0.0,0.00091,0.016,8.5,0.0,0.141,4.0,0.242,15.0,7.5,2.2e-05,0.081,0.0,0.0,0.00032,3.8e-07,0.00025,0.0047,0.00063,0.00057,0.0,0.0025,1e-05
Pork jowl,Meat,0.004,655.0,0.0,0.09,4e-05,70.0,0.0,1e-06,0.0004199999999999,0.003,33.0,0.0,0.086,8.1,0.148,6.4,25.0,1.5e-06,0.025,9.0,3e-06,0.00039,8.2e-07,0.0002399999999999,0.0045,0.00025,8.999999999999999e-05,0.0,0.0008399999999999,1e-05
Liver,Meat,0.01,165.0,3.8,0.355,0.00063,4.4,0.0,0.000163,0.018,0.014,0.63,3.8,0.241,1.1,0.15,26.0,1.4,6.8e-05,0.049,17997.0,0.005405,0.00026,1.9e-05,0.0022,0.0084,0.0048,0.00057,0.024,0.0067,0.0003
Ham,Meat,0.008,145.0,1.5,0.053,8e-05,5.5,0.0,3e-06,0.0015,0.014,2.6,1.5,0.196,0.54,0.287,21.0,1.8,2e-05,1.203,0.0,0.0,0.00075,6.5e-07,0.0002,0.004,0.0004,0.0004,0.0,0.0029,5e-05
Pork bacon,Meat,0.01,548.0,1.4,0.107,0.0001799999999999,43.0,0.0,2e-06,0.0015,0.03,19.0,1.4,0.506,4.9,0.539,36.0,14.0,5.9e-05,2.193,37.0,1.1e-05,0.00035,1.2e-06,0.00025,0.011,0.001,0.00031,0.0,0.0034,2e-05
Pork hock,Meat,0.019,171.0,0.0,0.089,8e-05,11.0,0.0,1e-06,0.0011,0.006,5.1,0.0,0.06,1.2,0.047,19.0,3.2,2.6e-05,1.05,76.0,2.3e-05,8e-05,5.1e-07,7.000000000000001e-05,0.0011,0.00034,6e-05,0.0,0.0024,2e-05
Canadian bacon,Meat,0.007,146.0,1.8,0.067,6e-05,2.8,0.0,4e-06,0.00056,0.027,1.3,1.8,0.309,0.49,0.999,28.0,1.0,5e-05,0.993,0.0,0.0,0.00067,4.3e-07,0.00019,0.01,0.0007199999999999,0.00028,0.0,0.0017,2e-05
Short ribs,Meat,0.012,471.0,0.0,0.094,0.0001,42.0,0.0,5e-06,0.0023,0.015,19.0,0.0,0.162,1.5,0.224,22.0,18.0,2.1e-05,0.05,0.0,0.0,5e-05,2.6e-06,0.00015,0.0025,0.00025,0.00022,0.0,0.0049,1e-05
Beef shank,Meat,0.032,201.0,0.0,0.078,0.00017,6.4,0.0,1e-05,0.0039,0.03,2.9,0.0,0.263,0.21,0.447,34.0,2.3,3e-05,0.064,0.0,0.0,0.00014,3.8e-06,0.0002099999999999,0.0059,0.00041,0.00037,0.0,0.01,2e-05
T bone steak,Meat,0.019,217.0,0.0,0.081,8e-05,11.0,0.0,7e-06,0.0036,0.02,5.2,0.0,0.21,0.58,0.28,27.0,4.6,3e-05,0.068,5.0,1e-06,6e-05,1.9e-06,0.00027,0.0063,0.00031,0.00076,0.0,0.0047,0.0
Beef Liver,Meat,0.006,191.0,5.1,0.396,0.014,5.3,0.0,0.000253,0.0065,0.021,1.1,5.1,0.497,1.1,0.352,29.0,2.9,3.6e-05,0.079,31714.0,0.009442,0.00019,7.1e-05,0.0034,0.018,0.0070999999999999,0.001,0.0019,0.0053,0.0003599999999999
Corned beef,Meat,0.008,251.0,0.47,0.098,0.00015,19.0,0.0,6e-06,0.0019,0.012,9.2,0.47,0.125,0.67,0.145,18.0,6.3,3.3e-05,0.973,0.0,0.0,3e-05,1.6e-06,0.00017,0.003,0.0004199999999999,0.00023,0.0,0.0046,2e-05
Pastrami,Meat,0.01,147.0,0.36,0.068,8.999999999999999e-05,5.8,0.0,6e-06,0.0022,0.017,2.1,0.36,0.175,0.15,0.21,22.0,2.7,1.8e-05,1.078,42.0,2e-06,5e-05,1.9e-06,0.00016,0.0043,0.00027,0.00022,0.0003,0.005,3e-05
Pot roast,Meat,0.016,297.0,0.0,0.116,0.0001,19.0,0.0,9e-06,0.0024,0.019,8.2,0.0,0.174,0.71,0.231,29.0,7.5,2.7e-05,0.047,0.0,0.0,6e-05,2.1e-06,0.00017,0.0040999999999999,0.00057,0.00028,0.0,0.0067,1e-05
Beef ribs,Meat,0.01,372.0,0.0,0.085,8.999999999999999e-05,30.0,0.0,7e-06,0.0023,0.02,13.0,0.0,0.172,1.1,0.29,23.0,12.0,2.1e-05,0.064,0.0,0.0,7.000000000000001e-05,2.3e-06,0.00019,0.0036,0.00037,0.00023,0.0,0.0058,1e-05
